"from","existence_pct","outcome"
"harm_present",94.2,"mitig4"
"social_norms",72.1,"mitig4"
"policy_support",61,"mitig4"
"belief_concern",54.3,"mitig4"
"weather_risk_prep",38.9,"mitig4"
"politics",0.2,"mitig4"
"harm_future",0.1,"mitig4"
"trust_science",0,"mitig4"
"weather_risk_prep",100,"evacuate"
"social_norms",24.4,"evacuate"
"policy_support",15.4,"evacuate"
"harm_present",8.7,"evacuate"
"belief_concern",0,"evacuate"
"harm_future",0,"evacuate"
"trust_science",0,"evacuate"
"politics",0,"evacuate"
"harm_present",73.8,"move"
"weather_risk_prep",64.4,"move"
"social_norms",4,"move"
"policy_support",0.5,"move"
"belief_concern",0.1,"move"
"harm_future",0,"move"
"trust_science",0,"move"
"politics",0,"move"
