"A","B","p_adjacent","p_arrow_at_A","p_tail_at_A","p_circle_at_A","p_arrow_at_B","p_tail_at_B","p_circle_at_B"
"belief_concern","harm_present",1,0.3,0.6,0.1,0.6,0.2,0.2
"belief_concern","harm_future",1,0.7,0.1,0.2,0.7,0.1,0.2
"belief_concern","policy_support",1,0.5,0.4,0.1,0.6,0.2,0.2
"belief_concern","trust_science",1,0.8,0.1,0.1,0.3,0.5,0.2
"harm_present","harm_future",1,0.6,0.2,0.2,0.8,0.2,0
"harm_present","weather_risk_prep",1,0.7,0.1,0.2,0.6,0,0.4
"policy_support","trust_science",1,0.4,0.4,0.2,0.5,0.3,0.2
"policy_support","social_norms",1,0.8,0,0.2,0.6,0.1,0.3
"trust_science","social_norms",1,0.8,0,0.2,0.6,0.1,0.3
"policy_support","politics",0.9,0.6,0.2,0.1,0.3,0.4,0.2
"harm_future","trust_science",0.8,0.6,0.1,0.1,0.7,0,0.1
"belief_concern","weather_risk_prep",0.7,0.6,0,0.1,0.5,0,0.2
"harm_future","policy_support",0.5,0.1,0.4,0,0.4,0,0.1
"trust_science","politics",0.5,0.5,0,0,0.3,0,0.2
"belief_concern","politics",0.3,0.3,0,0,0.3,0,0
"harm_present","politics",0.3,0.2,0.1,0,0.2,0,0.1
"harm_present","policy_support",0.1,0.1,0,0,0,0.1,0
"social_norms","weather_risk_prep",0.1,0.1,0,0,0.1,0,0
"belief_concern","social_norms",0,0,0,0,0,0,0
"harm_present","trust_science",0,0,0,0,0,0,0
"harm_present","social_norms",0,0,0,0,0,0,0
"harm_future","social_norms",0,0,0,0,0,0,0
"harm_future","politics",0,0,0,0,0,0,0
"harm_future","weather_risk_prep",0,0,0,0,0,0,0
"policy_support","weather_risk_prep",0,0,0,0,0,0,0
"trust_science","weather_risk_prep",0,0,0,0,0,0,0
"social_norms","politics",0,0,0,0,0,0,0
"politics","weather_risk_prep",0,0,0,0,0,0,0
