"target","point_estimate","boot_mean","ci_lower_95","ci_upper_95","n_boot"
"belief_concern",0.2059,0.2057,0.1824,0.2271,1000
"harm_present",0.1951,0.1945,0.1591,0.2301,1000
"harm_future",0.1322,0.1322,0.1085,0.1545,1000
"weather_risk_prep",0.0928,0.093,0.0608,0.1247,1000
"social_norms",0.0571,0.0577,0.0227,0.0922,1000
"trust_science",0.0342,0.0346,0.0139,0.0553,1000
"policy_support",0.0162,0.0163,0.0061,0.0289,1000
"politics",0.1109,0.1109,0.0944,0.1277,1000
"belief_concern+weather_risk_prep",0.2552,0.2551,0.224,0.2843,1000
"harm_present+weather_risk_prep+social_norms",0.3054,0.3055,0.273,0.3374,1000
