"from","to","alpha","pct_from_to","pct_to_from","pct_bidirected","pct_from_ocirc_to","pct_to_ocirc_from","pct_circle_circle","pct_absent"
"belief_concern","politics","0.05",34.2,0.5,57.9,0.4,2.8,1,3.3
"belief_concern","harm_future","0.05",38.6,3.8,44.4,0.2,12.4,0.7,0
"belief_concern","harm_present","0.05",68.4,16.5,8.5,0.9,5.3,0.4,0
"harm_future","harm_present","0.05",29.4,47.2,9.9,7.2,0.2,6,0
"belief_concern","trust_science","0.05",46,34.1,17,0.4,1.9,0.5,0
"harm_future","trust_science","0.05",26.2,2.3,39.8,5.7,0.3,2.3,23.4
"belief_concern","policy_support","0.05",73.4,15.6,5,1.7,0.2,0.1,4
"trust_science","policy_support","0.05",43,17.7,26.2,12,0.2,1,0
"politics","policy_support","0.05",8.9,2.6,64.8,22,0,0.2,1.5
"social_norms","policy_support","0.05",25.3,4.6,46.8,9.4,0,0,13.8
"trust_science","social_norms","0.05",18,0.4,76.9,3.4,1,0.3,0
"harm_present","weather_risk_prep","0.05",12.4,4.7,66.7,3,7.2,2.1,3.9
"belief_concern","weather_risk_prep","0.05",12.2,5.7,73.5,0.4,4.9,0.8,2.5
"harm_present","climate_behavior","0.05",45.8,0,42.7,8.8,0,0,2.6
"social_norms","climate_behavior","0.05",0,0,78.4,0,0,0,21.6
"weather_risk_prep","climate_behavior","0.05",21.7,0,62.4,13,0,0,2.9
"belief_concern","politics","0.01",42.7,0.6,38.2,0.3,4,3.9,10.3
"belief_concern","harm_future","0.01",30.1,5.5,44,0.1,16,4.4,0
"belief_concern","harm_present","0.01",50.8,30.6,5.5,2.6,8.1,2.1,0.3
"harm_future","harm_present","0.01",27.1,18,24.7,17.1,0.1,13,0
"belief_concern","trust_science","0.01",52.1,31.3,11.2,0.6,2,2.9,0
"harm_future","trust_science","0.01",21.5,1.3,22.7,7.2,0.1,1.6,45.6
"belief_concern","policy_support","0.01",56.6,18.6,8.3,3.8,0.2,1.3,11.3
"trust_science","policy_support","0.01",35.4,29,20.5,11.6,0.4,3.1,0
"politics","policy_support","0.01",10,6.9,47.5,29.1,0,1.9,4.6
"social_norms","policy_support","0.01",23.6,1.6,33.9,12.7,0,0.2,27.9
"trust_science","social_norms","0.01",20.6,0.7,66,3.2,6.5,3.1,0
"harm_present","weather_risk_prep","0.01",16.8,3.7,50.1,6,9.6,3.6,10.2
"belief_concern","weather_risk_prep","0.01",16.7,5.6,59.5,2.4,5.8,1.4,8.6
"harm_present","climate_behavior","0.01",35.4,0,44.7,10.4,0,0,9.5
"social_norms","climate_behavior","0.01",0,0,55.7,0,0,0,44.3
"weather_risk_prep","climate_behavior","0.01",14.5,0,62.5,11,0,0,12
