"component","eigenvalue"
1,14.9456993983929
2,1.72648691792499
3,1.35061624581143
4,1.27676265924681
5,0.924563479979056
6,0.794611575441189
7,0.671377450774697
8,0.540384162870575
9,0.524878503099514
10,0.517380205563827
11,0.467539712211108
12,0.410856695742105
13,0.392881561806117
14,0.342881877101606
15,0.292456482004461
16,0.27376522102829
17,0.24876954676165
18,0.210110293070581
19,0.180047111234554
20,0.179325116736924
21,0.151924645972085
22,0.136117277422359
23,0.112557084235156
24,0.109479979629029
25,0.0930837829599724
26,0.0711260563234259
27,0.0543169566555847
