"node","ate","outcome"
"belief_concern",0.2146,"mitig4"
"harm_present",0.2042,"mitig4"
"weather_risk_prep",0.0677,"mitig4"
"social_norms",0.064,"mitig4"
"trust_science",0.0383,"mitig4"
"policy_support",0.0182,"mitig4"
"belief_concern",0.1186,"evacuate"
"harm_present",0.1009,"evacuate"
"weather_risk_prep",0.1319,"evacuate"
"social_norms",0.0342,"evacuate"
"trust_science",0.0205,"evacuate"
"policy_support",0.0097,"evacuate"
"belief_concern",0.0956,"move"
"harm_present",0.1015,"move"
"weather_risk_prep",0.0596,"move"
"social_norms",0.0072,"move"
"trust_science",0.0043,"move"
"policy_support",0.002,"move"
