"spec","target_label","target_size","ate_climate_behavior"
"baseline","belief_concern",1,0.205910269493496
"baseline","harm_present",1,0.195092169205424
"baseline","harm_future",1,0.132193852909441
"baseline","weather_risk_prep",1,0.0927883702055787
"baseline","social_norms",1,0.0570726895817288
"baseline","trust_science",1,0.0341862949302955
"baseline","policy_support",1,0.0161971092740782
"baseline","belief_concern+harm_present",2,0.238121440102385
"baseline","belief_concern+harm_future",2,0.224926998521491
"baseline","belief_concern+weather_risk_prep",2,0.255235041793041
"baseline","belief_concern+social_norms",2,0.230435444092934
"baseline","belief_concern+trust_science",2,0.212980390202409
"baseline","belief_concern+policy_support",2,0.210373137302733
"baseline","harm_present+harm_future",2,0.203244150655609
"baseline","harm_present+weather_risk_prep",2,0.24837624391964
"baseline","harm_present+social_norms",2,0.252164858787153
"baseline","harm_present+trust_science",2,0.22927846413572
"baseline","harm_present+policy_support",2,0.211289278479503
"baseline","harm_future+weather_risk_prep",2,0.199864932331973
"baseline","harm_future+social_norms",2,0.181114561040985
"baseline","harm_future+trust_science",2,0.158228166389552
"baseline","harm_future+policy_support",2,0.146496110454019
"baseline","weather_risk_prep+social_norms",2,0.149861059787307
"baseline","weather_risk_prep+trust_science",2,0.126974665135874
"baseline","weather_risk_prep+policy_support",2,0.108985479479657
"baseline","social_norms+trust_science",2,0.0570726895817288
"baseline","social_norms+policy_support",2,0.0570726895817288
"baseline","trust_science+policy_support",2,0.0424371201665934
"baseline","belief_concern+harm_present+harm_future",3,0.239294142303489
"baseline","belief_concern+harm_present+weather_risk_prep",3,0.280923758901931
"baseline","belief_concern+harm_present+social_norms",3,0.262646614701823
"baseline","belief_concern+harm_present+trust_science",3,0.245191560811298
"baseline","belief_concern+harm_present+policy_support",3,0.242584307911621
"baseline","belief_concern+harm_future+weather_risk_prep",3,0.270638526315137
"baseline","belief_concern+harm_future+social_norms",3,0.248279470919824
"baseline","belief_concern+harm_future+trust_science",3,0.230824417029299
"baseline","belief_concern+harm_future+policy_support",3,0.229117282688636
"baseline","belief_concern+weather_risk_prep+social_norms",3,0.279760216392479
"baseline","belief_concern+weather_risk_prep+trust_science",3,0.262305162501954
"baseline","belief_concern+weather_risk_prep+policy_support",3,0.259697909602278
"baseline","belief_concern+social_norms+trust_science",3,0.230435444092934
"baseline","belief_concern+social_norms+policy_support",3,0.230435444092934
"baseline","belief_concern+trust_science+policy_support",3,0.215799874677799
"baseline","harm_present+harm_future+weather_risk_prep",3,0.256528225369825
"baseline","harm_present+harm_future+social_norms",3,0.252164858787153
"baseline","harm_present+harm_future+trust_science",3,0.22927846413572
"baseline","harm_present+harm_future+policy_support",3,0.217546408200187
"baseline","harm_present+weather_risk_prep+social_norms",3,0.305448933501369
"baseline","harm_present+weather_risk_prep+trust_science",3,0.282562538849936
"baseline","harm_present+weather_risk_prep+policy_support",3,0.264573353193719
"baseline","harm_present+social_norms+trust_science",3,0.252164858787153
"baseline","harm_present+social_norms+policy_support",3,0.252164858787153
"baseline","harm_present+trust_science+policy_support",3,0.237529289372018
"baseline","harm_future+weather_risk_prep+social_norms",3,0.248785640463517
"baseline","harm_future+weather_risk_prep+trust_science",3,0.225899245812083
"baseline","harm_future+weather_risk_prep+policy_support",3,0.21416718987655
"baseline","harm_future+social_norms+trust_science",3,0.181114561040985
"baseline","harm_future+social_norms+policy_support",3,0.181114561040985
"baseline","harm_future+trust_science+policy_support",3,0.16647899162585
"baseline","weather_risk_prep+social_norms+trust_science",3,0.149861059787307
"baseline","weather_risk_prep+social_norms+policy_support",3,0.149861059787307
"baseline","weather_risk_prep+trust_science+policy_support",3,0.135225490372172
"baseline","social_norms+trust_science+policy_support",3,0.0570726895817288
"confound_1of8_belief_concern_harm_future","belief_concern",1,0.0882538114609169
"confound_1of8_belief_concern_harm_future","harm_present",1,0.192928292574855
"confound_1of8_belief_concern_harm_future","harm_future",1,0.132962138783938
"confound_1of8_belief_concern_harm_future","weather_risk_prep",1,0.0926552440990719
"confound_1of8_belief_concern_harm_future","social_norms",1,0.0560943172450275
"confound_1of8_belief_concern_harm_future","trust_science",1,0.033426892181773
"confound_1of8_belief_concern_harm_future","policy_support",1,0.0152930180601021
"confound_1of8_belief_concern_harm_future","belief_concern+harm_present",2,0.227236943975227
"confound_1of8_belief_concern_harm_future","belief_concern+harm_future",2,0.221215950244855
"confound_1of8_belief_concern_harm_future","belief_concern+weather_risk_prep",2,0.160010226814008
"confound_1of8_belief_concern_harm_future","belief_concern+social_norms",2,0.12001492787579
"confound_1of8_belief_concern_harm_future","belief_concern+trust_science",2,0.102516490883955
"confound_1of8_belief_concern_harm_future","belief_concern+policy_support",2,0.0939232997026263
"confound_1of8_belief_concern_harm_future","harm_present+harm_future",2,0.201127651811982
"confound_1of8_belief_concern_harm_future","harm_present+weather_risk_prep",2,0.246517405472648
"confound_1of8_belief_concern_harm_future","harm_present+social_norms",2,0.249022609819882
"confound_1of8_belief_concern_harm_future","harm_present+trust_science",2,0.226355184756628
"confound_1of8_belief_concern_harm_future","harm_present+policy_support",2,0.208221310634957
"confound_1of8_belief_concern_harm_future","harm_future+weather_risk_prep",2,0.200354115117756
"confound_1of8_belief_concern_harm_future","harm_future+social_norms",2,0.180857096791838
"confound_1of8_belief_concern_harm_future","harm_future+trust_science",2,0.158189671728583
"confound_1of8_belief_concern_harm_future","harm_future+policy_support",2,0.146349292591747
"confound_1of8_belief_concern_harm_future","weather_risk_prep+social_norms",2,0.148749561344099
"confound_1of8_belief_concern_harm_future","weather_risk_prep+trust_science",2,0.126082136280845
"confound_1of8_belief_concern_harm_future","weather_risk_prep+policy_support",2,0.107948262159174
"confound_1of8_belief_concern_harm_future","social_norms+trust_science",2,0.0560943172450275
"confound_1of8_belief_concern_harm_future","social_norms+policy_support",2,0.0560943172450275
"confound_1of8_belief_concern_harm_future","trust_science+policy_support",2,0.0409501422597579
"confound_1of8_belief_concern_harm_future","belief_concern+harm_present+harm_future",3,0.235436303212355
"confound_1of8_belief_concern_harm_future","belief_concern+harm_present+weather_risk_prep",3,0.270850606302802
"confound_1of8_belief_concern_harm_future","belief_concern+harm_present+social_norms",3,0.2589980603901
"confound_1of8_belief_concern_harm_future","belief_concern+harm_present+trust_science",3,0.241499623398265
"confound_1of8_belief_concern_harm_future","belief_concern+harm_present+policy_support",3,0.232906432216936
"confound_1of8_belief_concern_harm_future","belief_concern+harm_future+weather_risk_prep",3,0.267709097832692
"confound_1of8_belief_concern_harm_future","belief_concern+harm_future+social_norms",3,0.244777707422601
"confound_1of8_belief_concern_harm_future","belief_concern+harm_future+trust_science",3,0.227279270430765
"confound_1of8_belief_concern_harm_future","belief_concern+harm_future+policy_support",3,0.224979574234271
"confound_1of8_belief_concern_harm_future","belief_concern+weather_risk_prep+social_norms",3,0.191771343228882
"confound_1of8_belief_concern_harm_future","belief_concern+weather_risk_prep+trust_science",3,0.174272906237046
"confound_1of8_belief_concern_harm_future","belief_concern+weather_risk_prep+policy_support",3,0.165679715055718
"confound_1of8_belief_concern_harm_future","belief_concern+social_norms+trust_science",3,0.12001492787579
"confound_1of8_belief_concern_harm_future","belief_concern+social_norms+policy_support",3,0.12001492787579
"confound_1of8_belief_concern_harm_future","belief_concern+trust_science+policy_support",3,0.104870752890521
"confound_1of8_belief_concern_harm_future","harm_present+harm_future+weather_risk_prep",3,0.254716764709776
"confound_1of8_belief_concern_harm_future","harm_present+harm_future+social_norms",3,0.249022609819882
"confound_1of8_belief_concern_harm_future","harm_present+harm_future+trust_science",3,0.226355184756628
"confound_1of8_belief_concern_harm_future","harm_present+harm_future+policy_support",3,0.214514805619791
"confound_1of8_belief_concern_harm_future","harm_present+weather_risk_prep+social_norms",3,0.302611722717676
"confound_1of8_belief_concern_harm_future","harm_present+weather_risk_prep+trust_science",3,0.279944297654421
"confound_1of8_belief_concern_harm_future","harm_present+weather_risk_prep+policy_support",3,0.26181042353275
"confound_1of8_belief_concern_harm_future","harm_present+social_norms+trust_science",3,0.249022609819882
"confound_1of8_belief_concern_harm_future","harm_present+social_norms+policy_support",3,0.249022609819882
"confound_1of8_belief_concern_harm_future","harm_present+trust_science+policy_support",3,0.233878434834612
"confound_1of8_belief_concern_harm_future","harm_future+weather_risk_prep+social_norms",3,0.248249073125655
"confound_1of8_belief_concern_harm_future","harm_future+weather_risk_prep+trust_science",3,0.225581648062401
"confound_1of8_belief_concern_harm_future","harm_future+weather_risk_prep+policy_support",3,0.213741268925564
"confound_1of8_belief_concern_harm_future","harm_future+social_norms+trust_science",3,0.180857096791838
"confound_1of8_belief_concern_harm_future","harm_future+social_norms+policy_support",3,0.180857096791838
"confound_1of8_belief_concern_harm_future","harm_future+trust_science+policy_support",3,0.165712921806568
"confound_1of8_belief_concern_harm_future","weather_risk_prep+social_norms+trust_science",3,0.148749561344099
"confound_1of8_belief_concern_harm_future","weather_risk_prep+social_norms+policy_support",3,0.148749561344099
"confound_1of8_belief_concern_harm_future","weather_risk_prep+trust_science+policy_support",3,0.13360538635883
"confound_1of8_belief_concern_harm_future","social_norms+trust_science+policy_support",3,0.0560943172450275
"confound_1of8_politics_policy_support","belief_concern",1,0.205910273925616
"confound_1of8_politics_policy_support","harm_present",1,0.195092170744145
"confound_1of8_politics_policy_support","harm_future",1,0.132193859215137
"confound_1of8_politics_policy_support","weather_risk_prep",1,0.0927883701730765
"confound_1of8_politics_policy_support","social_norms",1,0.0570726978067559
"confound_1of8_politics_policy_support","trust_science",1,0.034186291133557
"confound_1of8_politics_policy_support","policy_support",1,0.0161971071335497
"confound_1of8_politics_policy_support","belief_concern+harm_present",2,0.238121444066
"confound_1of8_politics_policy_support","belief_concern+harm_future",2,0.224927008423144
"confound_1of8_politics_policy_support","belief_concern+weather_risk_prep",2,0.255235045657032
"confound_1of8_politics_policy_support","belief_concern+social_norms",2,0.230435454454369
"confound_1of8_politics_policy_support","belief_concern+trust_science",2,0.212980392673831
"confound_1of8_politics_policy_support","belief_concern+policy_support",2,0.210373137555124
"confound_1of8_politics_policy_support","harm_present+harm_future",2,0.203244151970982
"confound_1of8_politics_policy_support","harm_present+weather_risk_prep",2,0.248376245114282
"confound_1of8_politics_policy_support","harm_present+social_norms",2,0.2521648685509
"confound_1of8_politics_policy_support","harm_present+trust_science",2,0.229278461877702
"confound_1of8_politics_policy_support","harm_present+policy_support",2,0.211289277877694
"confound_1of8_politics_policy_support","harm_future+weather_risk_prep",2,0.199864937283098
"confound_1of8_politics_policy_support","harm_future+social_norms",2,0.181114575795056
"confound_1of8_politics_policy_support","harm_future+trust_science",2,0.158228169121857
"confound_1of8_politics_policy_support","harm_future+policy_support",2,0.146496115171888
"confound_1of8_politics_policy_support","weather_risk_prep+social_norms",2,0.149861067979832
"confound_1of8_politics_policy_support","weather_risk_prep+trust_science",2,0.126974661306633
"confound_1of8_politics_policy_support","weather_risk_prep+policy_support",2,0.108985477306626
"confound_1of8_politics_policy_support","social_norms+trust_science",2,0.0570726978067559
"confound_1of8_politics_policy_support","social_norms+policy_support",2,0.0570726978067559
"confound_1of8_politics_policy_support","trust_science+policy_support",2,0.0424371172119523
"confound_1of8_politics_policy_support","belief_concern+harm_present+harm_future",3,0.239294146516325
"confound_1of8_politics_policy_support","belief_concern+harm_present+weather_risk_prep",3,0.280923762392285
"confound_1of8_politics_policy_support","belief_concern+harm_present+social_norms",3,0.262646624594753
"confound_1of8_politics_policy_support","belief_concern+harm_present+trust_science",3,0.245191562814215
"confound_1of8_politics_policy_support","belief_concern+harm_present+policy_support",3,0.242584307695508
"confound_1of8_politics_policy_support","belief_concern+harm_future+weather_risk_prep",3,0.270638534591598
"confound_1of8_politics_policy_support","belief_concern+harm_future+social_norms",3,0.248279486501571
"confound_1of8_politics_policy_support","belief_concern+harm_future+trust_science",3,0.230824424721033
"confound_1of8_politics_policy_support","belief_concern+harm_future+policy_support",3,0.229117288424672
"confound_1of8_politics_policy_support","belief_concern+weather_risk_prep+social_norms",3,0.279760226185785
"confound_1of8_politics_policy_support","belief_concern+weather_risk_prep+trust_science",3,0.262305164405247
"confound_1of8_politics_policy_support","belief_concern+weather_risk_prep+policy_support",3,0.259697909286541
"confound_1of8_politics_policy_support","belief_concern+social_norms+trust_science",3,0.230435454454369
"confound_1of8_politics_policy_support","belief_concern+social_norms+policy_support",3,0.230435454454369
"confound_1of8_politics_policy_support","belief_concern+trust_science+policy_support",3,0.215799873859566
"confound_1of8_politics_policy_support","harm_present+harm_future+weather_risk_prep",3,0.25652822634112
"confound_1of8_politics_policy_support","harm_present+harm_future+social_norms",3,0.2521648685509
"confound_1of8_politics_policy_support","harm_present+harm_future+trust_science",3,0.229278461877702
"confound_1of8_politics_policy_support","harm_present+harm_future+policy_support",3,0.217546407927733
"confound_1of8_politics_policy_support","harm_present+weather_risk_prep+social_norms",3,0.305448942921038
"confound_1of8_politics_policy_support","harm_present+weather_risk_prep+trust_science",3,0.282562536247839
"confound_1of8_politics_policy_support","harm_present+weather_risk_prep+policy_support",3,0.264573352247832
"confound_1of8_politics_policy_support","harm_present+social_norms+trust_science",3,0.2521648685509
"confound_1of8_politics_policy_support","harm_present+social_norms+policy_support",3,0.2521648685509
"confound_1of8_politics_policy_support","harm_present+trust_science+policy_support",3,0.237529287956097
"confound_1of8_politics_policy_support","harm_future+weather_risk_prep+social_norms",3,0.248785653863016
"confound_1of8_politics_policy_support","harm_future+weather_risk_prep+trust_science",3,0.225899247189817
"confound_1of8_politics_policy_support","harm_future+weather_risk_prep+policy_support",3,0.214167193239849
"confound_1of8_politics_policy_support","harm_future+social_norms+trust_science",3,0.181114575795056
"confound_1of8_politics_policy_support","harm_future+social_norms+policy_support",3,0.181114575795056
"confound_1of8_politics_policy_support","harm_future+trust_science+policy_support",3,0.166478995200252
"confound_1of8_politics_policy_support","weather_risk_prep+social_norms+trust_science",3,0.149861067979832
"confound_1of8_politics_policy_support","weather_risk_prep+social_norms+policy_support",3,0.149861067979832
"confound_1of8_politics_policy_support","weather_risk_prep+trust_science+policy_support",3,0.135225487385029
"confound_1of8_politics_policy_support","social_norms+trust_science+policy_support",3,0.0570726978067559
"confound_1of8_policy_support_social_norms","belief_concern",1,0.201272250272743
"confound_1of8_policy_support_social_norms","harm_present",1,0.18696518756387
"confound_1of8_policy_support_social_norms","harm_future",1,0.129295186014128
"confound_1of8_policy_support_social_norms","weather_risk_prep",1,0.0930759853800993
"confound_1of8_policy_support_social_norms","social_norms",1,0.0633652432558516
"confound_1of8_policy_support_social_norms","trust_science",1,0.0436997795135366
"confound_1of8_policy_support_social_norms","policy_support",1,0
"confound_1of8_policy_support_social_norms","belief_concern+harm_present",2,0.232141594603954
"confound_1of8_policy_support_social_norms","belief_concern+harm_future",2,0.219871991178749
"confound_1of8_policy_support_social_norms","belief_concern+weather_risk_prep",2,0.250749913086132
"confound_1of8_policy_support_social_norms","belief_concern+social_norms",2,0.229975332833657
"confound_1of8_policy_support_social_norms","belief_concern+trust_science",2,0.210309869091342
"confound_1of8_policy_support_social_norms","belief_concern+policy_support",2,0.201272250272743
"confound_1of8_policy_support_social_norms","harm_present+harm_future",2,0.197385731653225
"confound_1of8_policy_support_social_norms","harm_present+weather_risk_prep",2,0.240414425760687
"confound_1of8_policy_support_social_norms","harm_present+social_norms",2,0.250330430819721
