"spec","node","ate_climate_behavior"
"baseline","belief_concern",0.205910269493496
"baseline","harm_present",0.195092169205424
"baseline","harm_future",0.132193852909441
"baseline","weather_risk_prep",0.0927883702055787
"baseline","social_norms",0.0570726895817288
"baseline","trust_science",0.0341862949302955
"baseline","policy_support",0.0161971092740782
"baseline","politics",0.11093000739904
"confound_1of8_belief_concern_harm_future","belief_concern",0.0882538114609169
"confound_1of8_belief_concern_harm_future","harm_present",0.192928292574855
"confound_1of8_belief_concern_harm_future","harm_future",0.132962138783938
"confound_1of8_belief_concern_harm_future","weather_risk_prep",0.0926552440990719
"confound_1of8_belief_concern_harm_future","social_norms",0.0560943172450275
"confound_1of8_belief_concern_harm_future","trust_science",0.033426892181773
"confound_1of8_belief_concern_harm_future","policy_support",0.0152930180601021
"confound_1of8_belief_concern_harm_future","politics",0.0140998834277373
"confound_1of8_politics_policy_support","belief_concern",0.205910273925616
"confound_1of8_politics_policy_support","harm_present",0.195092170744145
"confound_1of8_politics_policy_support","harm_future",0.132193859215137
"confound_1of8_politics_policy_support","weather_risk_prep",0.0927883701730765
"confound_1of8_politics_policy_support","social_norms",0.0570726978067559
"confound_1of8_politics_policy_support","trust_science",0.034186291133557
"confound_1of8_politics_policy_support","policy_support",0.0161971071335497
"confound_1of8_politics_policy_support","politics",0.109097292447783
"confound_1of8_policy_support_social_norms","belief_concern",0.201272250272743
"confound_1of8_policy_support_social_norms","harm_present",0.18696518756387
"confound_1of8_policy_support_social_norms","harm_future",0.129295186014128
"confound_1of8_policy_support_social_norms","weather_risk_prep",0.0930759853800993
"confound_1of8_policy_support_social_norms","social_norms",0.0633652432558516
"confound_1of8_policy_support_social_norms","trust_science",0.0436997795135366
"confound_1of8_policy_support_social_norms","policy_support",0
"confound_1of8_policy_support_social_norms","politics",0.106639940656406
"confound_1of8_trust_science_social_norms","belief_concern",0.199548242128948
"confound_1of8_trust_science_social_norms","harm_present",0.196060164373692
"confound_1of8_trust_science_social_norms","harm_future",0.128583079723866
"confound_1of8_trust_science_social_norms","weather_risk_prep",0.0932487531174393
"confound_1of8_trust_science_social_norms","social_norms",0.0570994100043247
