"alpha","from","to","mark_at_from","mark_at_to","relation","arrow"
"0.05","politics","belief_concern","arrowhead","arrowhead","bidirected","politics <-> belief_concern"
"0.05","belief_concern","harm_future","arrowhead","arrowhead","bidirected","belief_concern <-> harm_future"
"0.05","belief_concern","harm_present","tail","arrowhead","from_to","belief_concern -> harm_present"
"0.05","harm_future","harm_present","arrowhead","tail","to_from","harm_future <- harm_present"
"0.05","belief_concern","trust_science","tail","arrowhead","from_to","belief_concern -> trust_science"
"0.05","harm_future","trust_science","tail","arrowhead","from_to","harm_future -> trust_science"
"0.05","belief_concern","policy_support","tail","arrowhead","from_to","belief_concern -> policy_support"
"0.05","trust_science","policy_support","tail","arrowhead","from_to","trust_science -> policy_support"
"0.05","politics","policy_support","arrowhead","arrowhead","bidirected","politics <-> policy_support"
"0.05","policy_support","social_norms","arrowhead","arrowhead","bidirected","policy_support <-> social_norms"
"0.05","trust_science","social_norms","arrowhead","arrowhead","bidirected","trust_science <-> social_norms"
"0.05","harm_present","weather_risk_prep","arrowhead","arrowhead","bidirected","harm_present <-> weather_risk_prep"
"0.05","belief_concern","weather_risk_prep","arrowhead","arrowhead","bidirected","belief_concern <-> weather_risk_prep"
"0.05","harm_present","climate_behavior","tail","arrowhead","from_to","harm_present -> climate_behavior"
"0.05","social_norms","climate_behavior","arrowhead","arrowhead","bidirected","social_norms <-> climate_behavior"
"0.05","weather_risk_prep","climate_behavior","tail","arrowhead","from_to","weather_risk_prep -> climate_behavior"
"0.01","politics","belief_concern","arrowhead","tail","to_from","politics <- belief_concern"
"0.01","belief_concern","harm_future","arrowhead","circle","to_ocirc_from","belief_concern <-o harm_future"
"0.01","belief_concern","harm_present","arrowhead","circle","to_ocirc_from","belief_concern <-o harm_present"
"0.01","harm_future","harm_present","circle","circle","circle_circle","harm_future o-o harm_present"
"0.01","belief_concern","trust_science","tail","arrowhead","from_to","belief_concern -> trust_science"
"0.01","harm_future","trust_science","tail","arrowhead","from_to","harm_future -> trust_science"
"0.01","belief_concern","policy_support","tail","arrowhead","from_to","belief_concern -> policy_support"
"0.01","trust_science","policy_support","arrowhead","tail","to_from","trust_science <- policy_support"
"0.01","politics","policy_support","circle","arrowhead","from_ocirc_to","politics o-> policy_support"
"0.01","policy_support","social_norms","arrowhead","tail","to_from","policy_support <- social_norms"
"0.01","trust_science","social_norms","arrowhead","arrowhead","bidirected","trust_science <-> social_norms"
"0.01","harm_present","weather_risk_prep","circle","arrowhead","from_ocirc_to","harm_present o-> weather_risk_prep"
"0.01","belief_concern","weather_risk_prep","arrowhead","arrowhead","bidirected","belief_concern <-> weather_risk_prep"
"0.01","harm_present","climate_behavior","circle","arrowhead","from_ocirc_to","harm_present o-> climate_behavior"
"0.01","social_norms","climate_behavior","arrowhead","arrowhead","bidirected","social_norms <-> climate_behavior"
"0.01","weather_risk_prep","climate_behavior","arrowhead","arrowhead","bidirected","weather_risk_prep <-> climate_behavior"
