"from","to","plurality_0.05","plurality_0.01","p_adjacent","passes_existence","label"
"belief_concern","harm_future","bidirected","bidirected",1,TRUE,"bidirected_dominant"
"belief_concern","harm_present","from_to","from_to",0.9975,TRUE,"directionally_resolved"
"belief_concern","policy_support","from_to","from_to",0.9275,TRUE,"directionally_resolved"
"belief_concern","trust_science","from_to","from_to",1,TRUE,"directionally_resolved"
"belief_concern","weather_risk_prep","bidirected","bidirected",0.946,TRUE,"bidirected_dominant"
"harm_future","harm_present","to_from","from_to",1,TRUE,"mixed_threshold_sensitive"
"harm_future","trust_science","bidirected","absent",0.657,TRUE,"mixed_threshold_sensitive"
"harm_present","climate_behavior","from_to","bidirected",0.939,TRUE,"mixed_threshold_sensitive"
"harm_present","weather_risk_prep","bidirected","bidirected",0.932,TRUE,"bidirected_dominant"
"policy_support","social_norms","bidirected","bidirected",0.7875,TRUE,"bidirected_dominant"
"politics","belief_concern","bidirected","to_from",0.929,TRUE,"mixed_threshold_sensitive"
"politics","policy_support","bidirected","bidirected",0.9685,TRUE,"bidirected_dominant"
"social_norms","climate_behavior","bidirected","bidirected",0.6615,TRUE,"bidirected_dominant"
"trust_science","policy_support","from_to","from_to",1,TRUE,"directionally_resolved"
"trust_science","social_norms","bidirected","bidirected",1,TRUE,"bidirected_dominant"
"weather_risk_prep","climate_behavior","bidirected","bidirected",0.9225,TRUE,"bidirected_dominant"
