"from","weight","outcome"
"harm_present",0.124041997362829,"mitig4"
"social_norms",0.0949973652175244,"mitig4"
"policy_support",0.0819093295199283,"mitig4"
"belief_concern",0.0805422733943503,"mitig4"
"weather_risk_prep",0.0730680979694816,"mitig4"
"harm_future",0,"mitig4"
"trust_science",0,"mitig4"
"politics",0,"mitig4"
"weather_risk_prep",0.211540854517939,"evacuate"
"policy_support",0.066869286163991,"evacuate"
"social_norms",0.0653016713929302,"evacuate"
"politics",-0.0424534228744684,"evacuate"
"harm_present",0.0402605964690662,"evacuate"
"trust_science",-0.036560439197872,"evacuate"
"belief_concern",0,"evacuate"
"harm_future",0,"evacuate"
"weather_risk_prep",0.0948787246516814,"move"
"harm_present",0.0858633960551258,"move"
"trust_science",-0.0412928463713223,"move"
"social_norms",0.0277877224180063,"move"
"policy_support",0.00929968901726272,"move"
"belief_concern",0,"move"
"harm_future",0,"move"
"politics",0,"move"
