"target","point_estimate","boot_mean","ci_lower_95","ci_upper_95","n_boot"
"belief_concern",0.2013,0.2011,0.177,0.2234,1000
"harm_present",0.187,0.1865,0.1487,0.2223,1000
"harm_future",0.1293,0.1293,0.1063,0.1523,1000
"weather_risk_prep",0.0931,0.0932,0.06,0.1251,1000
"social_norms",0.0634,0.0639,0.0294,0.0982,1000
"trust_science",0.0437,0.0441,0.0202,0.0678,1000
"policy_support",0,0,0,0,1000
"politics",0,0,0,0,1000
"belief_concern+weather_risk_prep",0.2508,0.2507,0.2187,0.2802,1000
"harm_present+weather_risk_prep+social_norms",0.3038,0.3039,0.271,0.3362,1000
