"from","to","current_evidence","p_adjacent","avg_n","asymmetry","existence_band","orientation_label","final_tier","current_tier_expected","mismatch","avg_n_published","asymmetry_published","avg_n_drift","asymmetry_drift","table2_stale","note"
"politics","belief_concern","substantive",0.929,0.071,-0.336,"included","theory-needed","substantive","substantive",FALSE,0.07,-0.26,0.000999999999999945,-0.076,FALSE,""
"belief_concern","harm_future","bootstrap_theory",1,0,0.1595,"included","bootstrap-resolved","data_aligned","data_aligned",FALSE,0,0.36,0,-0.2005,TRUE,""
"belief_concern","harm_present","bootstrap_theory",0.9975,0.00249999999999995,0.333,"included","bootstrap-resolved","data_aligned","data_aligned",FALSE,0,0.12,0.00249999999999995,0.213,TRUE,""
"harm_future","harm_present","bootstrap",1,0,0.0755,"included","bootstrap-resolved","data_aligned","data_aligned",FALSE,0,0.3,0,-0.2245,TRUE,""
"belief_concern","trust_science","substantive",1,0,0.1725,"included","bootstrap-resolved","data_aligned","substantive",TRUE,0,-0.2,0,0.3725,TRUE,""
"belief_concern","policy_support","bootstrap_theory",0.9275,0.0725,0.5215,"included","bootstrap-resolved","data_aligned","data_aligned",FALSE,0.07,0.22,0.0025,0.3015,TRUE,""
"politics","policy_support","bootstrap",0.9685,0.0315,0.2885,"included","bootstrap-resolved","data_aligned","data_aligned",FALSE,0.03,0.2,0.00149999999999997,0.0885,FALSE,""
"trust_science","policy_support","bootstrap_theory",1,0,0.2825,"included","bootstrap-resolved","data_aligned","data_aligned",FALSE,0,0.22,0,0.0625,FALSE,""
"trust_science","social_norms","bootstrap",1,0,0.1825,"included","bootstrap-resolved","data_aligned","data_aligned",FALSE,0,0.18,0,0.0025,FALSE,""
"policy_support","social_norms","substantive",0.7875,0.2125,-0.3245,"included","theory-needed","substantive","substantive",FALSE,0.21,-0.38,0.00250000000000003,0.0555,FALSE,""
"harm_present","weather_risk_prep","substantive",0.932,0.0680000000000001,0.078,"included","bootstrap-resolved","data_aligned","substantive",TRUE,0.36,-0.17,-0.292,0.248,TRUE,""
"harm_present","climate_behavior","bootstrap",0.939,0.0609999999999999,0.5095,"included","bootstrap-resolved","data_aligned","data_aligned",FALSE,0.08,0.52,-0.0190000000000001,-0.0105000000000001,FALSE,""
"weather_risk_prep","climate_behavior","bootstrap",0.9225,0.0775,0.298,"included","bootstrap-resolved","data_aligned","data_aligned",FALSE,0,0.53,0.0775,-0.232,TRUE,""
"social_norms","climate_behavior","weak",0.6615,0.3385,0,"included","theory-needed","substantive","substantive",FALSE,0.38,0,-0.0415,0,FALSE,"Unconditional RCoT p ~ 1e-16 (stable across 20 seeds); no single main-network variable, conditioned on individually, explains it away; conditional on the full network jointly, 60-65% support under two independent methods (npn primary: 0.6615; RCoT diagnostic: 12-13/20 seeds significant at safe num_f, i.e. not resolved by adding more random features). See r_patches/17_diagnostic_rcot_social_norms_behavior.R."
"belief_concern","weather_risk_prep","new_2026-09-03",0.946,0.054,0.0650000000000001,"included","bootstrap-resolved","data_aligned",NA,FALSE,NA,NA,NA,NA,FALSE,"Added 2026-09-03: existence is robust (p_adjacent=.946, higher than 10 of the other 14 edges), clearing the same 60% rule as every other edge. Orientation is only weakly resolved (raw asymmetry +.065, versus +.15 to +.55 for other data_aligned edges), with high arrowhead mass at BOTH endpoints (.77 at belief_concern, .83 at weather_risk_prep) and little circle/undetermined mass at either -- a pattern at least as consistent with a shared latent upstream cause as with a clean directed effect. Rendered solid (data_aligned) per the same sign-only rule used everywhere else, but this note exists so the figure's solid line does not overstate how cleanly this one is resolved."
"harm_future","trust_science","new_2026-09-03c",0.657,0.343,0.2865,"included","bootstrap-resolved","data_aligned",NA,FALSE,NA,NA,NA,NA,FALSE,"Added 2026-09-03 (second candidate-scan pass, threshold matched to 60%): existence is close to the skeleton floor (p_adjacent=.657, versus .946 for belief_concern->weather_risk_prep and 78%+ for every one of the original 14 edges) -- a genuinely thinner margin, worth a bootstrap-seed sensitivity check if one is wanted specifically for this edge. Unlike weather_risk_prep, orientation itself IS cleanly resolved here (raw asymmetry +.2865, squarely within the +.15 to +.55 range typical of already-resolved edges, no both-ends-high-arrowhead pattern). No established theoretical story for this direction has been discussed yet (unlike weather_risk_prep, where belief_concern as a second driver of weather-risk perception is an easy substantive story) -- worth a sentence in Methods/Discussion regardless."
