"A","B","p_adjacent_npn","p_arrow_at_A_npn","p_tail_at_A_npn","p_circle_at_A_npn","p_arrow_at_B_npn","p_tail_at_B_npn","p_circle_at_B_npn","p_adjacent_RCoT","p_arrow_at_A_RCoT","p_tail_at_A_RCoT","p_circle_at_A_RCoT","p_arrow_at_B_RCoT","p_tail_at_B_RCoT","p_circle_at_B_RCoT","abs_diff_p_adjacent"
"harm_present","social_norms",0.786,0.2675,0.4535,0.065,0.786,0,0,0,0,0,0,0,0,0,0.786
"social_norms","weather_risk_prep",0.858,0.858,0,0,0.5455,0.1955,0.117,0.1,0.1,0,0,0.1,0,0,0.758
"belief_concern","politics",0.968,0.658,0.3055,0.0045,0.9605,5e-04,0.007,0.3,0.3,0,0,0.3,0,0,0.668
"trust_science","politics",0.987,0.9285,0.0445,0.014,0.7995,0.005,0.1825,0.5,0.5,0,0,0.3,0,0.2,0.487
"harm_future","policy_support",0.948,0.6095,0.281,0.0575,0.886,0.057,0.005,0.5,0.1,0.4,0,0.4,0,0.1,0.448
"belief_concern","weather_risk_prep",1,0.936,0.0585,0.0055,0.8415,0.0525,0.106,0.7,0.6,0,0.1,0.5,0,0.2,0.3
"harm_future","trust_science",0.986,0.557,0.357,0.072,0.901,0.075,0.01,0.8,0.6,0.1,0.1,0.7,0,0.1,0.186
"belief_concern","social_norms",0.1745,0.116,0.0565,0.002,0.1735,0,0.001,0,0,0,0,0,0,0,0.1745
"harm_present","policy_support",0.244,0.2235,0.0205,0,0.24,0.004,0,0.1,0.1,0,0,0,0.1,0,0.144
"policy_support","politics",1,0.728,0.265,0.007,0.8025,0.049,0.1485,0.9,0.6,0.2,0.1,0.3,0.4,0.2,0.1
"harm_future","politics",0.0355,0.0245,0.0085,0.0025,0.0325,0,0.003,0,0,0,0,0,0,0,0.0355
"harm_present","politics",0.2955,0.2815,0.01,0.004,0.2955,0,0,0.3,0.2,0.1,0,0.2,0,0.1,0.0045
"harm_future","social_norms",0.00249999999999995,0,0.0025,0,0.0025,0,0,0,0,0,0,0,0,0,0.00249999999999995
"harm_future","weather_risk_prep",0.000499999999999945,5e-04,0,0,5e-04,0,0,0,0,0,0,0,0,0,0.000499999999999945
"social_norms","politics",0.000499999999999945,5e-04,0,0,5e-04,0,0,0,0,0,0,0,0,0,0.000499999999999945
"belief_concern","harm_present",1,0.3275,0.666,0.0065,0.7655,0.1215,0.113,1,0.3,0.6,0.1,0.6,0.2,0.2,0
"belief_concern","harm_future",1,0.838,0.1585,0.0035,0.824,0.0045,0.1715,1,0.7,0.1,0.2,0.7,0.1,0.2,0
"belief_concern","policy_support",1,0.072,0.918,0.01,0.933,0.0635,0.0035,1,0.5,0.4,0.1,0.6,0.2,0.2,0
"belief_concern","trust_science",1,0.4115,0.5815,0.007,0.8115,0.1845,0.004,1,0.8,0.1,0.1,0.3,0.5,0.2,0
"harm_present","harm_future",1,0.4755,0.426,0.0985,0.49,0.3895,0.1205,1,0.6,0.2,0.2,0.8,0.2,0,0
"harm_present","weather_risk_prep",1,0.812,0.088,0.1,0.8055,0.072,0.1225,1,0.7,0.1,0.2,0.6,0,0.4,0
"policy_support","trust_science",1,0.7055,0.022,0.2725,0.701,0.0435,0.2555,1,0.4,0.4,0.2,0.5,0.3,0.2,0
"policy_support","social_norms",1,0.8675,0.1325,0,0.923,0.0595,0.0175,1,0.8,0,0.2,0.6,0.1,0.3,0
"trust_science","social_norms",1,0.8165,0.1805,0.003,0.987,0,0.013,1,0.8,0,0.2,0.6,0.1,0.3,0
"harm_present","trust_science",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"policy_support","weather_risk_prep",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"trust_science","weather_risk_prep",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"politics","weather_risk_prep",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
