"A","B","p_adjacent_npn","p_arrow_at_A_npn","p_tail_at_A_npn","p_circle_at_A_npn","p_arrow_at_B_npn","p_tail_at_B_npn","p_circle_at_B_npn","p_adjacent_mixedCI","p_arrow_at_A_mixedCI","p_tail_at_A_mixedCI","p_circle_at_A_mixedCI","p_arrow_at_B_mixedCI","p_tail_at_B_mixedCI","p_circle_at_B_mixedCI","abs_diff_p_adjacent"
"belief_concern","trust_science",1,0.4705,0.507,0.0225,0.643,0.3195,0.0375,0,0,0,0,0,0,0,1
"policy_support","trust_science",1,0.7375,0.2345,0.028,0.455,0.386,0.159,0,0,0,0,0,0,0,1
"trust_science","social_norms",1,0.7565,0.1905,0.053,0.939,0.0055,0.0555,0,0,0,0,0,0,0,1
"policy_support","politics",0.9685,0.913,0.0455,0.01,0.6245,0.0875,0.2565,0,0,0,0,0,0,0,0.9685
"harm_present","weather_risk_prep",0.932,0.7085,0.151,0.0725,0.7865,0.039,0.1065,0,0,0,0,0,0,0,0.932
"weather_risk_prep","climate_behavior",0.9225,0.6245,0.1835,0.1145,0.9225,0,0,0,0,0,0,0,0,0,0.9225
"belief_concern","politics",0.929,0.53,0.3685,0.0305,0.866,0.004,0.059,0.1,0.1,0,0,0,0,0.1,0.829
"policy_support","social_norms",0.7875,0.7595,0.026,0.002,0.435,0.24,0.1125,0,0,0,0,0,0,0,0.7875
"belief_concern","weather_risk_prep",0.946,0.7695,0.15,0.0265,0.8345,0.0515,0.06,0.2,0.2,0,0,0,0,0.2,0.746
"social_norms","climate_behavior",0.6615,0.6615,0,0,0.6615,0,0,0,0,0,0,0,0,0,0.6615
"belief_concern","harm_future",1,0.6215,0.3485,0.03,0.781,0.0475,0.1715,0.4,0.2,0,0.2,0.1,0,0.3,0.6
"harm_present","harm_future",1,0.5765,0.3275,0.096,0.501,0.2745,0.2245,0.4,0.1,0,0.3,0.1,0,0.3,0.6
"harm_future","trust_science",0.657,0.328,0.236,0.093,0.6145,0.018,0.0245,0.2,0,0,0.2,0,0,0.2,0.457
"harm_present","policy_support",0.3995,0.3575,0.035,0.007,0.351,0.0475,0.001,0.8,0.2,0,0.6,0.4,0,0.4,0.4005
"harm_present","social_norms",0.3775,0.113,0.2425,0.022,0.373,0.004,5e-04,0,0,0,0,0,0,0,0.3775
"harm_present","climate_behavior",0.939,0.4295,0.412,0.0975,0.939,0,0,0.6,0.1,0.1,0.4,0.6,0,0,0.339
"trust_science","politics",0.3275,0.3245,0.003,0,0.2825,0.0025,0.0425,0,0,0,0,0,0,0,0.3275
"policy_support","climate_behavior",0.535,0.5345,5e-04,0,0.535,0,0,0.3,0.3,0,0,0.3,0,0,0.235
"belief_concern","climate_behavior",0.2105,0.084,0.117,0.0095,0.2105,0,0,0,0,0,0,0,0,0,0.2105
"social_norms","weather_risk_prep",0.19,0.19,0,0,0.1465,0.036,0.0075,0,0,0,0,0,0,0,0.19
"harm_present","politics",0.121,0.121,0,0,0.108,0.001,0.012,0,0,0,0,0,0,0,0.121
"harm_future","policy_support",0.2895,0.1485,0.1015,0.0395,0.283,0.006,5e-04,0.2,0.1,0,0.1,0,0,0.2,0.0895
"harm_future","social_norms",0.0275,0.009,0.017,0.0015,0.027,5e-04,0,0.1,0.1,0,0,0,0,0.1,0.0725
"harm_future","politics",0.0285,0.018,0.0065,0.004,0.0265,0,0.002,0,0,0,0,0,0,0,0.0285
"belief_concern","policy_support",0.9275,0.2315,0.6595,0.0365,0.753,0.1645,0.01,0.9,0.5,0,0.4,0.4,0,0.5,0.0275
"belief_concern","social_norms",0.121,0.0265,0.088,0.0065,0.107,0.013,0.001,0.1,0.1,0,0,0,0,0.1,0.021
"harm_future","weather_risk_prep",0.003,0.0025,5e-04,0,0.003,0,0,0,0,0,0,0,0,0,0.003
"belief_concern","harm_present",0.9975,0.361,0.6035,0.033,0.694,0.2225,0.081,1,0.4,0,0.6,0,0.1,0.9,0.00249999999999995
"harm_present","trust_science",0.000499999999999945,5e-04,0,0,0,5e-04,0,0,0,0,0,0,0,0,0.000499999999999945
"policy_support","weather_risk_prep",0.000499999999999945,5e-04,0,0,5e-04,0,0,0,0,0,0,0,0,0,0.000499999999999945
"social_norms","politics",0.000499999999999945,5e-04,0,0,5e-04,0,0,0,0,0,0,0,0,0,0.000499999999999945
"harm_future","climate_behavior",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"trust_science","weather_risk_prep",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"trust_science","climate_behavior",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"politics","weather_risk_prep",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"politics","climate_behavior",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
