"From","To","Beta","SE","Z","p","sig"
"politics","belief_concern",0.53,0.024,22.202,0,"***"
"harm_future","harm_present",0.636,0.031,20.444,0,"***"
"belief_concern","harm_present",0.291,0.032,9.04,0,"***"
"belief_concern","harm_future",0.856,0.01,81.625,0,"***"
"trust_science","policy_support",0.491,0.038,12.934,0,"***"
"belief_concern","policy_support",0.335,0.038,8.925,0,"***"
"politics","policy_support",0.113,0.023,4.972,0,"***"
"belief_concern","trust_science",0.589,0.041,14.348,0,"***"
"harm_future","trust_science",0.238,0.042,5.72,0,"***"
"trust_science","social_norms",0.46,0.044,10.392,0,"***"
"policy_support","social_norms",0.284,0.047,6.048,0,"***"
"harm_present","weather_risk_prep",0.426,0.052,8.125,0,"***"
"belief_concern","weather_risk_prep",0.113,0.05,2.272,0.023,"*"
"harm_present","climate_behavior",0.311,0.035,8.854,0,"***"
"weather_risk_prep","climate_behavior",0.186,0.035,5.371,0,"***"
"social_norms","climate_behavior",0.114,0.035,3.235,0.001,"**"
