"From","To","Beta","SE","Z","p"
"harm_present","climate_behavior",0.294677155129726,0.0358033412790724,8.23043728887864,2.22044604925031e-16
"social_norms","climate_behavior",0.126730526856967,0.035606856888987,3.5591607327791,0.000372041797233935
"weather_risk_prep","climate_behavior",0.186151998356852,0.0345434412471923,5.38892454358416,7.08805556470793e-08
"belief_concern","harm_future",0.856145414674301,0.0105547955095454,81.1143535561662,0
"belief_concern","harm_present",0.29054559767191,0.0321173105009938,9.04638629884404,0
"harm_future","harm_present",0.635811618334687,0.0311076500824713,20.4390758109034,0
"belief_concern","policy_support",0.306214693082315,0.0360532524150088,8.49339997283683,0
"trust_science","policy_support",0.424462073224941,0.0408635666529638,10.3872987110917,0
"politics","policy_support",0.11330752850625,0.0224202419752197,5.05380488896973,4.33094053731153e-07
"social_norms","policy_support",0.134988150896938,0.0301869028859585,4.47174562448168,7.75836807354047e-06
"belief_concern","politics",0.529829582427213,0.0243400578038682,21.7678029648315,0
"trust_science","social_norms",0.689648822069945,0.0200314374759815,34.4283241228624,0
"belief_concern","trust_science",0.589034369109579,0.0410966655397932,14.3328993088071,0
"harm_future","trust_science",0.238457601411069,0.0416880131972564,5.7200519555286,1.06491484519466e-08
"harm_present","weather_risk_prep",0.425746258405353,0.0523353475805479,8.13496571796143,4.44089209850063e-16
"belief_concern","weather_risk_prep",0.112964163522965,0.049735690977289,2.27128971777126,0.0231294452707953
