"alpha","boot_id","node","mag_index","effect_std_scale","effect_ate_scale","status"
"0.01",1,"belief_concern",1,0,0,"zero"
"0.01",1,"harm_present",1,0.513043943249284,0.256521971624642,"identified_positive"
"0.01",1,"harm_future",1,0,0,"zero"
"0.01",1,"policy_support",1,0,0,"zero"
"0.01",1,"trust_science",1,0,0,"zero"
"0.01",1,"social_norms",1,0,0,"zero"
"0.01",1,"politics",1,0,0,"zero"
"0.01",1,"weather_risk_prep",1,0,0,"zero"
"0.01",2,"belief_concern",1,0,0,"zero"
"0.01",2,"belief_concern",2,0,0,"zero"
"0.01",2,"belief_concern",3,0,0,"zero"
"0.01",2,"belief_concern",4,0,0,"zero"
"0.01",2,"belief_concern",5,0,0,"zero"
"0.01",2,"belief_concern",6,0,0,"zero"
"0.01",2,"belief_concern",7,0,0,"zero"
"0.01",2,"belief_concern",8,0,0,"zero"
"0.01",2,"belief_concern",9,0,0,"zero"
"0.01",2,"belief_concern",10,0,0,"zero"
"0.01",2,"belief_concern",11,0,0,"zero"
"0.01",2,"belief_concern",12,0,0,"zero"
"0.01",2,"belief_concern",13,0,0,"zero"
"0.01",2,"belief_concern",14,0,0,"zero"
"0.01",2,"belief_concern",15,0,0,"zero"
"0.01",2,"belief_concern",16,0,0,"zero"
"0.01",2,"belief_concern",17,0,0,"zero"
"0.01",2,"belief_concern",18,0,0,"zero"
"0.01",2,"belief_concern",19,0,0,"zero"
"0.01",2,"belief_concern",20,0,0,"zero"
"0.01",2,"belief_concern",21,0,0,"zero"
"0.01",2,"belief_concern",22,0,0,"zero"
"0.01",2,"belief_concern",23,0,0,"zero"
"0.01",2,"belief_concern",24,0,0,"zero"
"0.01",2,"belief_concern",25,0,0,"zero"
"0.01",2,"belief_concern",26,0,0,"zero"
"0.01",2,"belief_concern",27,0,0,"zero"
"0.01",2,"belief_concern",28,0,0,"zero"
"0.01",2,"belief_concern",29,0,0,"zero"
"0.01",2,"belief_concern",30,0,0,"zero"
"0.01",2,"belief_concern",31,0,0,"zero"
