"alpha","node","n_resamples_with_data","pct_resamples_any_positive","pct_resamples_all_positive","pct_resamples_all_zero","pct_resamples_any_unidentified","pct_resamples_any_negative","median_n_mags","max_n_mags","median_resample_min_positive","median_resample_max_positive","n_attempted","n_success","n_fci_failed","n_mag_failed","n_cap_hit","n_invalid_correlation","n_effect_computation_failed"
"0.01","belief_concern",919,33.6235038084875,30.9031556039173,60.3917301414581,8.70511425462459,0,3,230,0.216796665047883,0.226598848588195,1000,919,0,27,2,0,52
"0.01","harm_future",919,15.9956474428727,9.24918389553863,61.588683351469,29.0533188248096,0.108813928182807,3,230,0.0916429391988057,0.0916429391988057,1000,919,0,27,2,0,52
"0.01","harm_present",919,47.9869423286181,37.6496191512514,48.8574537540805,13.4929270946681,0,3,230,0.196863423656769,0.211460707066713,1000,919,0,27,2,0,52
"0.01","policy_support",919,2.82916213275299,2.82916213275299,91.1860718171926,5.98476605005441,0,3,230,0.183479394783138,0.183479394783138,1000,919,0,27,2,0,52
"0.01","politics",919,0.217627856365615,0,94.4504896626768,5.44069640914037,0.108813928182807,3,230,0.127690664729829,0.127690664729829,1000,919,0,27,2,0,52
"0.01","social_norms",919,0.108813928182807,0.108813928182807,94.7769314472252,5.11425462459195,0,3,230,0.208855685871477,0.208855685871477,1000,919,0,27,2,0,52
"0.01","trust_science",919,6.74646354733406,5.44069640914037,83.5690968443961,10.4461371055495,0.544069640914037,3,230,0.186285817660528,0.196625903299763,1000,919,0,27,2,0,52
"0.01","weather_risk_prep",919,17.0837867247008,10.7725788900979,72.3612622415669,16.8661588683351,0,3,230,0.0977667974536699,0.0985396348264393,1000,919,0,27,2,0,52
"0.05","belief_concern",925,38.7027027027027,37.1891891891892,46.4864864864865,16.3243243243243,0,2,372,0.230777913280704,0.23521443421863,1000,925,0,17,0,0,58
"0.05","harm_future",925,14.5945945945946,10.1621621621622,72,17.8378378378378,0,2,372,0.083095151859799,0.083095151859799,1000,925,0,17,0,0,58
"0.05","harm_present",925,50.8108108108108,43.7837837837838,42.9189189189189,13.2972972972973,0,2,372,0.184049109358205,0.186481644550799,1000,925,0,17,0,0,58
"0.05","policy_support",925,2.16216216216216,2.16216216216216,92,5.83783783783784,0,2,372,0.107391528474431,0.107391528474431,1000,925,0,17,0,0,58
"0.05","politics",925,0.216216216216216,0.216216216216216,95.8918918918919,3.78378378378378,0.108108108108108,2,372,0.116246312591644,0.116246312591644,1000,925,0,17,0,0,58
"0.05","social_norms",925,0.108108108108108,0.108108108108108,97.4054054054054,2.48648648648649,0,2,372,0.198578906593158,0.198578906593158,1000,925,0,17,0,0,58
"0.05","trust_science",925,12.1081081081081,11.1351351351351,78.7027027027027,9.4054054054054,0.756756756756757,2,372,0.193959804304308,0.194149594309031,1000,925,0,17,0,0,58
"0.05","weather_risk_prep",925,21.6216216216216,17.8378378378378,65.6216216216216,16.5405405405405,0,2,372,0.0923129009940106,0.0923129009940106,1000,925,0,17,0,0,58
