"alpha","boot_id","node","n_mags_b","n_zero","n_positive","n_negative","n_unidentified","any_positive","any_negative","all_zero","all_positive","any_unidentified","min_positive","max_positive"
"0.01",1,"belief_concern",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",1,"harm_future",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",1,"harm_present",1,0,1,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.256521971624642,0.256521971624642
"0.01",1,"policy_support",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",1,"politics",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",1,"social_norms",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",1,"trust_science",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",1,"weather_risk_prep",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",2,"belief_concern",74,74,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",2,"harm_future",74,68,0,0,6,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",2,"harm_present",74,16,22,0,36,TRUE,FALSE,FALSE,FALSE,TRUE,0.216035376313673,0.256435514250338
"0.01",2,"policy_support",74,74,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",2,"politics",74,74,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",2,"social_norms",74,74,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",2,"trust_science",74,74,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",2,"weather_risk_prep",74,26,18,0,30,TRUE,FALSE,FALSE,FALSE,TRUE,0.0668667961393072,0.0668667961393072
"0.01",3,"belief_concern",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",3,"harm_future",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",3,"harm_present",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",3,"policy_support",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",3,"politics",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",3,"social_norms",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",3,"trust_science",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",3,"weather_risk_prep",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",4,"belief_concern",10,0,10,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.268505845398011,0.268505845398011
"0.01",4,"harm_future",10,8,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",4,"harm_present",10,0,8,0,2,TRUE,FALSE,FALSE,FALSE,TRUE,0.125828215191386,0.15111904237041
"0.01",4,"policy_support",10,10,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",4,"politics",10,10,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",4,"social_norms",10,10,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",4,"trust_science",10,0,10,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.208043254501593,0.208043254501593
"0.01",4,"weather_risk_prep",10,0,8,0,2,TRUE,FALSE,FALSE,FALSE,TRUE,0.0935783365879295,0.0935783365879295
"0.01",5,"belief_concern",14,0,4,0,10,TRUE,FALSE,FALSE,FALSE,TRUE,0.188736773666351,0.198759898730092
"0.01",5,"harm_future",14,0,14,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.0851045402253886,0.0851045402253886
"0.01",5,"harm_present",14,0,14,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.183272581836674,0.183272581836674
"0.01",5,"policy_support",14,0,14,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.0790802660735884,0.0945167777218794
"0.01",5,"politics",14,7,0,0,7,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",5,"social_norms",14,14,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",5,"trust_science",14,0,0,14,0,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA
"0.01",5,"weather_risk_prep",14,0,6,0,8,TRUE,FALSE,FALSE,FALSE,TRUE,0.0582360188488033,0.0582360188488033
"0.01",6,"belief_concern",60,60,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",6,"harm_future",60,48,0,0,12,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",6,"harm_present",60,16,28,0,16,TRUE,FALSE,FALSE,FALSE,TRUE,0.231442222674843,0.262705646062513
"0.01",6,"policy_support",60,60,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",6,"politics",60,60,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",6,"social_norms",60,60,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",6,"trust_science",60,60,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",6,"weather_risk_prep",60,60,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",7,"belief_concern",90,8,64,0,18,TRUE,FALSE,FALSE,FALSE,TRUE,0.18206115292329,0.238510155018033
"0.01",7,"harm_future",90,28,28,0,34,TRUE,FALSE,FALSE,FALSE,TRUE,0.0683546003273908,0.0683546003273908
"0.01",7,"harm_present",90,0,90,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.211949632599527,0.293368904075097
"0.01",7,"policy_support",90,90,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",7,"politics",90,90,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",7,"social_norms",90,78,0,0,12,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",7,"trust_science",90,48,30,0,12,TRUE,FALSE,FALSE,FALSE,TRUE,0.12728512424584,0.192548094149625
"0.01",7,"weather_risk_prep",90,90,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",8,"belief_concern",4,0,4,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.251354294053395,0.251354294053395
"0.01",8,"harm_future",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",8,"harm_present",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",8,"policy_support",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",8,"politics",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",8,"social_norms",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",8,"trust_science",4,0,4,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.211782440108509,0.211782440108509
"0.01",8,"weather_risk_prep",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",9,"belief_concern",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",9,"harm_future",2,1,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",9,"harm_present",2,0,2,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.222482645654084,0.259169547454276
"0.01",9,"policy_support",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",9,"politics",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",9,"social_norms",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",9,"trust_science",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",9,"weather_risk_prep",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",10,"belief_concern",22,22,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",10,"harm_future",22,20,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",10,"harm_present",22,8,10,0,4,TRUE,FALSE,FALSE,FALSE,TRUE,0.181428104738589,0.242745127223963
"0.01",10,"policy_support",22,22,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",10,"politics",22,22,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",10,"social_norms",22,22,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",10,"trust_science",22,22,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",10,"weather_risk_prep",22,2,18,0,2,TRUE,FALSE,FALSE,FALSE,TRUE,0.10200433474008,0.204341535279032
"0.01",11,"belief_concern",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",11,"harm_future",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",11,"harm_present",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",11,"policy_support",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",11,"politics",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",11,"social_norms",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",11,"trust_science",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",11,"weather_risk_prep",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",12,"belief_concern",2,0,2,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.095987366668109,0.095987366668109
"0.01",12,"harm_future",2,0,1,0,1,TRUE,FALSE,FALSE,FALSE,TRUE,0.167143294209072,0.167143294209072
"0.01",12,"harm_present",2,0,2,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.160883859155399,0.160883859155399
"0.01",12,"policy_support",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",12,"politics",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",12,"social_norms",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",12,"trust_science",2,0,2,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.0503282531295645,0.0503282531295645
"0.01",12,"weather_risk_prep",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",13,"belief_concern",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",13,"harm_future",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",13,"harm_present",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",13,"policy_support",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",13,"politics",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",13,"social_norms",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",13,"trust_science",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",13,"weather_risk_prep",2,0,2,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.185088863022872,0.185088863022872
"0.01",14,"belief_concern",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",14,"harm_future",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",14,"harm_present",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",14,"policy_support",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",14,"politics",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",14,"social_norms",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",14,"trust_science",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",14,"weather_risk_prep",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",15,"belief_concern",1,0,1,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.247692034010793,0.247692034010793
"0.01",15,"harm_future",1,0,1,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.109459461776953,0.109459461776953
"0.01",15,"harm_present",1,0,1,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.252236739234038,0.252236739234038
"0.01",15,"policy_support",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",15,"politics",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",15,"social_norms",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",15,"trust_science",1,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",15,"weather_risk_prep",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",16,"belief_concern",62,62,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",16,"harm_future",62,56,0,0,6,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",16,"harm_present",62,16,22,0,24,TRUE,FALSE,FALSE,FALSE,TRUE,0.197000572638778,0.254250324914477
"0.01",16,"policy_support",62,62,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",16,"politics",62,62,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",16,"social_norms",62,62,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",16,"trust_science",62,62,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",16,"weather_risk_prep",62,22,14,0,26,TRUE,FALSE,FALSE,FALSE,TRUE,0.113148083016075,0.113148083016075
"0.01",17,"belief_concern",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",17,"harm_future",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",17,"harm_present",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",17,"policy_support",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",17,"politics",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",17,"social_norms",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",17,"trust_science",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",17,"weather_risk_prep",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",18,"belief_concern",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",18,"harm_future",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",18,"harm_present",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",18,"policy_support",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",18,"politics",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",18,"social_norms",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",18,"trust_science",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",18,"weather_risk_prep",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",19,"belief_concern",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",19,"harm_future",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",19,"harm_present",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",19,"policy_support",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",19,"politics",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",19,"social_norms",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",19,"trust_science",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",19,"weather_risk_prep",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",20,"belief_concern",17,17,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",20,"harm_future",17,14,0,0,3,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",20,"harm_present",17,4,9,0,4,TRUE,FALSE,FALSE,FALSE,TRUE,0.218102821522976,0.250024038361704
"0.01",20,"policy_support",17,17,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",20,"politics",17,17,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",20,"social_norms",17,17,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",20,"trust_science",17,17,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",20,"weather_risk_prep",17,17,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",21,"belief_concern",34,0,28,0,6,TRUE,FALSE,FALSE,FALSE,TRUE,0.147876750261563,0.262557346301443
"0.01",21,"harm_future",34,20,0,0,14,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",21,"harm_present",34,0,28,0,6,TRUE,FALSE,FALSE,FALSE,TRUE,0.139665786647153,0.152974006895895
"0.01",21,"policy_support",34,34,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",21,"politics",34,31,0,0,3,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
