"spec","target_label","target_size","ate_climate_behavior"
"baseline","belief_concern",1,0.201272438461644
"baseline","harm_present",1,0.186965335962417
"baseline","harm_future",1,0.129295277380915
"baseline","weather_risk_prep",1,0.0930759991784261
"baseline","social_norms",1,0.0633652634284836
"baseline","trust_science",1,0.0436997792836055
"baseline","policy_support",1,0
"baseline","belief_concern+harm_present",2,0.232141761709249
"baseline","belief_concern+harm_future",2,0.219872156973846
"baseline","belief_concern+weather_risk_prep",2,0.250750090002866
"baseline","belief_concern+social_norms",2,0.229975528534551
"baseline","belief_concern+trust_science",2,0.210310044389672
"baseline","belief_concern+policy_support",2,0.201272438461644
"baseline","harm_present+harm_future",2,0.197385880512579
"baseline","harm_present+weather_risk_prep",2,0.240414576743289
"baseline","harm_present+social_norms",2,0.250330599390901
"baseline","harm_present+trust_science",2,0.230665115246023
"baseline","harm_present+policy_support",2,0.186965335962417
"baseline","harm_future+weather_risk_prep",2,0.197176123173234
"baseline","harm_future+social_norms",2,0.182239996259237
"baseline","harm_future+trust_science",2,0.162574512114359
"baseline","harm_future+policy_support",2,0.129295277380915
"baseline","weather_risk_prep+social_norms",2,0.15644126260691
"baseline","weather_risk_prep+trust_science",2,0.136775778462032
"baseline","weather_risk_prep+policy_support",2,0.0930759991784261
"baseline","social_norms+trust_science",2,0.0633652634284836
"baseline","social_norms+policy_support",2,0.0633652634284836
"baseline","trust_science+policy_support",2,0.0436997792836055
"baseline","belief_concern+harm_present+harm_future",3,0.233640804824381
"baseline","belief_concern+harm_present+weather_risk_prep",3,0.275076750098865
"baseline","belief_concern+harm_present+social_norms",3,0.260844851782156
"baseline","belief_concern+harm_present+trust_science",3,0.241179367637278
"baseline","belief_concern+harm_present+policy_support",3,0.232141761709249
"baseline","belief_concern+harm_future+weather_risk_prep",3,0.265725370172493
"baseline","belief_concern+harm_future+social_norms",3,0.247076203931622
"baseline","belief_concern+harm_future+trust_science",3,0.227410719786744
"baseline","belief_concern+harm_future+policy_support",3,0.219872156973846
"baseline","belief_concern+weather_risk_prep+social_norms",3,0.279453180075773
"baseline","belief_concern+weather_risk_prep+trust_science",3,0.259787695930894
"baseline","belief_concern+weather_risk_prep+policy_support",3,0.250750090002866
"baseline","belief_concern+social_norms+trust_science",3,0.229975528534551
"baseline","belief_concern+social_norms+policy_support",3,0.229975528534551
"baseline","belief_concern+trust_science+policy_support",3,0.210310044389672
"baseline","harm_present+harm_future+weather_risk_prep",3,0.250835121293451
"baseline","harm_present+harm_future+social_norms",3,0.250330599390901
"baseline","harm_present+harm_future+trust_science",3,0.230665115246023
"baseline","harm_present+harm_future+policy_support",3,0.197385880512579
"baseline","harm_present+weather_risk_prep+social_norms",3,0.303779840171773
"baseline","harm_present+weather_risk_prep+trust_science",3,0.284114356026894
"baseline","harm_present+weather_risk_prep+policy_support",3,0.240414576743289
"baseline","harm_present+social_norms+trust_science",3,0.250330599390901
"baseline","harm_present+social_norms+policy_support",3,0.250330599390901
"baseline","harm_present+trust_science+policy_support",3,0.230665115246023
"baseline","harm_future+weather_risk_prep+social_norms",3,0.250120842051556
"baseline","harm_future+weather_risk_prep+trust_science",3,0.230455357906678
"baseline","harm_future+weather_risk_prep+policy_support",3,0.197176123173234
"baseline","harm_future+social_norms+trust_science",3,0.182239996259237
"baseline","harm_future+social_norms+policy_support",3,0.182239996259237
"baseline","harm_future+trust_science+policy_support",3,0.162574512114359
"baseline","weather_risk_prep+social_norms+trust_science",3,0.15644126260691
"baseline","weather_risk_prep+social_norms+policy_support",3,0.15644126260691
"baseline","weather_risk_prep+trust_science+policy_support",3,0.136775778462032
"baseline","social_norms+trust_science+policy_support",3,0.0633652634284836
"confound_1of8_belief_concern_harm_future","belief_concern",1,0.0905768037754775
"confound_1of8_belief_concern_harm_future","harm_present",1,0.186965216758484
"confound_1of8_belief_concern_harm_future","harm_future",1,0.129295200295668
"confound_1of8_belief_concern_harm_future","weather_risk_prep",1,0.0930759927725942
"confound_1of8_belief_concern_harm_future","social_norms",1,0.0633652259120626
"confound_1of8_belief_concern_harm_future","trust_science",1,0.0436997582943818
"confound_1of8_belief_concern_harm_future","policy_support",1,0
"confound_1of8_belief_concern_harm_future","belief_concern+harm_present",2,0.223220113805738
"confound_1of8_belief_concern_harm_future","belief_concern+harm_future",2,0.219872004071145
"confound_1of8_belief_concern_harm_future","belief_concern+weather_risk_prep",2,0.161625175595768
"confound_1of8_belief_concern_harm_future","belief_concern+social_norms",2,0.128201379473847
"confound_1of8_belief_concern_harm_future","belief_concern+trust_science",2,0.108535911856166
"confound_1of8_belief_concern_harm_future","belief_concern+policy_support",2,0.0905768037754775
"confound_1of8_belief_concern_harm_future","harm_present+harm_future",2,0.197385755580591
"confound_1of8_belief_concern_harm_future","harm_present+weather_risk_prep",2,0.240414461918886
"confound_1of8_belief_concern_harm_future","harm_present+social_norms",2,0.250330442670546
"confound_1of8_belief_concern_harm_future","harm_present+trust_science",2,0.230664975052865
"confound_1of8_belief_concern_harm_future","harm_present+policy_support",2,0.186965216758484
"confound_1of8_belief_concern_harm_future","harm_future+weather_risk_prep",2,0.197176045599829
"confound_1of8_belief_concern_harm_future","harm_future+social_norms",2,0.182239887385622
"confound_1of8_belief_concern_harm_future","harm_future+trust_science",2,0.162574419767942
"confound_1of8_belief_concern_harm_future","harm_future+policy_support",2,0.129295200295668
"confound_1of8_belief_concern_harm_future","weather_risk_prep+social_norms",2,0.156441218684657
"confound_1of8_belief_concern_harm_future","weather_risk_prep+trust_science",2,0.136775751066976
"confound_1of8_belief_concern_harm_future","weather_risk_prep+policy_support",2,0.0930759927725942
"confound_1of8_belief_concern_harm_future","social_norms+trust_science",2,0.0633652259120626
"confound_1of8_belief_concern_harm_future","social_norms+policy_support",2,0.0633652259120626
"confound_1of8_belief_concern_harm_future","trust_science+policy_support",2,0.0436997582943818
"confound_1of8_belief_concern_harm_future","belief_concern+harm_present+harm_future",3,0.233640652627845
"confound_1of8_belief_concern_harm_future","belief_concern+harm_present+weather_risk_prep",3,0.266155112132579
"confound_1of8_belief_concern_harm_future","belief_concern+harm_present+social_norms",3,0.260844689504107
"confound_1of8_belief_concern_harm_future","belief_concern+harm_present+trust_science",3,0.241179221886426
"confound_1of8_belief_concern_harm_future","belief_concern+harm_present+policy_support",3,0.223220113805738
"confound_1of8_belief_concern_harm_future","belief_concern+harm_future+weather_risk_prep",3,0.265725228423002
"confound_1of8_belief_concern_harm_future","belief_concern+harm_future+social_norms",3,0.247076040947407
"confound_1of8_belief_concern_harm_future","belief_concern+harm_future+trust_science",3,0.227410573329726
"confound_1of8_belief_concern_harm_future","belief_concern+harm_future+policy_support",3,0.219872004071145
"confound_1of8_belief_concern_harm_future","belief_concern+weather_risk_prep+social_norms",3,0.199249751294137
"confound_1of8_belief_concern_harm_future","belief_concern+weather_risk_prep+trust_science",3,0.179584283676456
"confound_1of8_belief_concern_harm_future","belief_concern+weather_risk_prep+policy_support",3,0.161625175595768
"confound_1of8_belief_concern_harm_future","belief_concern+social_norms+trust_science",3,0.128201379473847
"confound_1of8_belief_concern_harm_future","belief_concern+social_norms+policy_support",3,0.128201379473847
"confound_1of8_belief_concern_harm_future","belief_concern+trust_science+policy_support",3,0.108535911856166
"confound_1of8_belief_concern_harm_future","harm_present+harm_future+weather_risk_prep",3,0.250835000740994
"confound_1of8_belief_concern_harm_future","harm_present+harm_future+social_norms",3,0.250330442670546
"confound_1of8_belief_concern_harm_future","harm_present+harm_future+trust_science",3,0.230664975052865
"confound_1of8_belief_concern_harm_future","harm_present+harm_future+policy_support",3,0.197385755580591
"confound_1of8_belief_concern_harm_future","harm_present+weather_risk_prep+social_norms",3,0.303779687830949
"confound_1of8_belief_concern_harm_future","harm_present+weather_risk_prep+trust_science",3,0.284114220213268
"confound_1of8_belief_concern_harm_future","harm_present+weather_risk_prep+policy_support",3,0.240414461918886
"confound_1of8_belief_concern_harm_future","harm_present+social_norms+trust_science",3,0.250330442670546
"confound_1of8_belief_concern_harm_future","harm_present+social_norms+policy_support",3,0.250330442670546
"confound_1of8_belief_concern_harm_future","harm_present+trust_science+policy_support",3,0.230664975052865
"confound_1of8_belief_concern_harm_future","harm_future+weather_risk_prep+social_norms",3,0.250120732689784
"confound_1of8_belief_concern_harm_future","harm_future+weather_risk_prep+trust_science",3,0.230455265072103
"confound_1of8_belief_concern_harm_future","harm_future+weather_risk_prep+policy_support",3,0.197176045599829
"confound_1of8_belief_concern_harm_future","harm_future+social_norms+trust_science",3,0.182239887385622
"confound_1of8_belief_concern_harm_future","harm_future+social_norms+policy_support",3,0.182239887385622
"confound_1of8_belief_concern_harm_future","harm_future+trust_science+policy_support",3,0.162574419767942
"confound_1of8_belief_concern_harm_future","weather_risk_prep+social_norms+trust_science",3,0.156441218684657
"confound_1of8_belief_concern_harm_future","weather_risk_prep+social_norms+policy_support",3,0.156441218684657
"confound_1of8_belief_concern_harm_future","weather_risk_prep+trust_science+policy_support",3,0.136775751066976
"confound_1of8_belief_concern_harm_future","social_norms+trust_science+policy_support",3,0.0633652259120626
"confound_1of8_politics_policy_support","belief_concern",1,0.201159573079315
"confound_1of8_politics_policy_support","harm_present",1,0.186817023181906
"confound_1of8_politics_policy_support","harm_future",1,0.129199133789818
"confound_1of8_politics_policy_support","weather_risk_prep",1,0.0932277042086373
"confound_1of8_politics_policy_support","social_norms",1,0.0633539156202667
"confound_1of8_politics_policy_support","trust_science",1,0.0436919705994283
"confound_1of8_politics_policy_support","policy_support",1,0
"confound_1of8_politics_policy_support","belief_concern+harm_present",2,0.232004392290189
"confound_1of8_politics_policy_support","belief_concern+harm_future",2,0.219745465801998
"confound_1of8_politics_policy_support","belief_concern+weather_risk_prep",2,0.250717856795605
"confound_1of8_politics_policy_support","belief_concern+social_norms",2,0.229857512034361
"confound_1of8_politics_policy_support","belief_concern+trust_science",2,0.210195567013522
"confound_1of8_politics_policy_support","belief_concern+policy_support",2,0.201159573079315
"confound_1of8_politics_policy_support","harm_present+harm_future",2,0.197235705273329
"confound_1of8_politics_policy_support","harm_present+weather_risk_prep",2,0.240353374722116
"confound_1of8_politics_policy_support","harm_present+social_norms",2,0.250170938802172
"confound_1of8_politics_policy_support","harm_present+trust_science",2,0.230508993781334
"confound_1of8_politics_policy_support","harm_present+policy_support",2,0.186817023181906
"confound_1of8_politics_policy_support","harm_future+weather_risk_prep",2,0.197190611030609
"confound_1of8_politics_policy_support","harm_future+social_norms",2,0.182134367318661
"confound_1of8_politics_policy_support","harm_future+trust_science",2,0.162472422297823
"confound_1of8_politics_policy_support","harm_future+policy_support",2,0.129199133789818
"confound_1of8_politics_policy_support","weather_risk_prep+social_norms",2,0.156581619828904
"confound_1of8_politics_policy_support","weather_risk_prep+trust_science",2,0.136919674808066
"confound_1of8_politics_policy_support","weather_risk_prep+policy_support",2,0.0932277042086373
"confound_1of8_politics_policy_support","social_norms+trust_science",2,0.0633539156202667
"confound_1of8_politics_policy_support","social_norms+policy_support",2,0.0633539156202667
"confound_1of8_politics_policy_support","trust_science+policy_support",2,0.0436919705994283
"confound_1of8_politics_policy_support","belief_concern+harm_present+harm_future",3,0.233503167877786
"confound_1of8_politics_policy_support","belief_concern+harm_present+weather_risk_prep",3,0.275009351387337
"confound_1of8_politics_policy_support","belief_concern+harm_present+social_norms",3,0.260702331245234
"confound_1of8_politics_policy_support","belief_concern+harm_present+trust_science",3,0.241040386224395
"confound_1of8_politics_policy_support","belief_concern+harm_present+policy_support",3,0.232004392290189
"confound_1of8_politics_policy_support","belief_concern+harm_future+weather_risk_prep",3,0.265673401594185
"confound_1of8_politics_policy_support","belief_concern+harm_future+social_norms",3,0.246944629169445
"confound_1of8_politics_policy_support","belief_concern+harm_future+trust_science",3,0.227282684148607
"confound_1of8_politics_policy_support","belief_concern+harm_future+policy_support",3,0.219745465801998
"confound_1of8_politics_policy_support","belief_concern+weather_risk_prep+social_norms",3,0.27941579575065
"confound_1of8_politics_policy_support","belief_concern+weather_risk_prep+trust_science",3,0.259753850729812
"confound_1of8_politics_policy_support","belief_concern+weather_risk_prep+policy_support",3,0.250717856795605
"confound_1of8_politics_policy_support","belief_concern+social_norms+trust_science",3,0.229857512034361
"confound_1of8_politics_policy_support","belief_concern+social_norms+policy_support",3,0.229857512034361
"confound_1of8_politics_policy_support","belief_concern+trust_science+policy_support",3,0.210195567013522
"confound_1of8_politics_policy_support","harm_present+harm_future+weather_risk_prep",3,0.250772056813539
"confound_1of8_politics_policy_support","harm_present+harm_future+social_norms",3,0.250170938802172
"confound_1of8_politics_policy_support","harm_present+harm_future+trust_science",3,0.230508993781334
"confound_1of8_politics_policy_support","harm_present+harm_future+policy_support",3,0.197235705273329
"confound_1of8_politics_policy_support","harm_present+weather_risk_prep+social_norms",3,0.303707290342382
"confound_1of8_politics_policy_support","harm_present+weather_risk_prep+trust_science",3,0.284045345321544
"confound_1of8_politics_policy_support","harm_present+weather_risk_prep+policy_support",3,0.240353374722116
"confound_1of8_politics_policy_support","harm_present+social_norms+trust_science",3,0.250170938802172
"confound_1of8_politics_policy_support","harm_present+social_norms+policy_support",3,0.250170938802172
"confound_1of8_politics_policy_support","harm_present+trust_science+policy_support",3,0.230508993781334
"confound_1of8_politics_policy_support","harm_future+weather_risk_prep+social_norms",3,0.250125844559452
"confound_1of8_politics_policy_support","harm_future+weather_risk_prep+trust_science",3,0.230463899538613
"confound_1of8_politics_policy_support","harm_future+weather_risk_prep+policy_support",3,0.197190611030609
"confound_1of8_politics_policy_support","harm_future+social_norms+trust_science",3,0.182134367318661
"confound_1of8_politics_policy_support","harm_future+social_norms+policy_support",3,0.182134367318661
"confound_1of8_politics_policy_support","harm_future+trust_science+policy_support",3,0.162472422297823
"confound_1of8_politics_policy_support","weather_risk_prep+social_norms+trust_science",3,0.156581619828904
"confound_1of8_politics_policy_support","weather_risk_prep+social_norms+policy_support",3,0.156581619828904
"confound_1of8_politics_policy_support","weather_risk_prep+trust_science+policy_support",3,0.136919674808066
"confound_1of8_politics_policy_support","social_norms+trust_science+policy_support",3,0.0633539156202667
"confound_1of8_social_norms_policy_support","belief_concern",1,0.20127220847667
"confound_1of8_social_norms_policy_support","harm_present",1,0.186965113122234
"confound_1of8_social_norms_policy_support","harm_future",1,0.129295146922484
"confound_1of8_social_norms_policy_support","weather_risk_prep",1,0.0930759755606515
"confound_1of8_social_norms_policy_support","social_norms",1,0.0633652912791177
"confound_1of8_social_norms_policy_support","trust_science",1,0.0436998057736922
"confound_1of8_social_norms_policy_support","policy_support",1,0
"confound_1of8_social_norms_policy_support","belief_concern+harm_present",2,0.23214153919437
"confound_1of8_social_norms_policy_support","belief_concern+harm_future",2,0.219871945052084
"confound_1of8_social_norms_policy_support","belief_concern+weather_risk_prep",2,0.250749861475024
"confound_1of8_social_norms_policy_support","belief_concern+social_norms",2,0.22997532002767
"confound_1of8_social_norms_policy_support","belief_concern+trust_science",2,0.210309834522244
"confound_1of8_social_norms_policy_support","belief_concern+policy_support",2,0.20127220847667
"confound_1of8_social_norms_policy_support","harm_present+harm_future",2,0.197385663055281
"confound_1of8_social_norms_policy_support","harm_present+weather_risk_prep",2,0.240414341839303
"confound_1of8_social_norms_policy_support","harm_present+social_norms",2,0.250330404401351
"confound_1of8_social_norms_policy_support","harm_present+trust_science",2,0.230664918895926
"confound_1of8_social_norms_policy_support","harm_present+policy_support",2,0.186965113122234
"confound_1of8_social_norms_policy_support","harm_future+weather_risk_prep",2,0.197175975204757
"confound_1of8_social_norms_policy_support","harm_future+social_norms",2,0.182239888268555
"confound_1of8_social_norms_policy_support","harm_future+trust_science",2,0.162574402763129
"confound_1of8_social_norms_policy_support","harm_future+policy_support",2,0.129295146922484
"confound_1of8_social_norms_policy_support","weather_risk_prep+social_norms",2,0.156441266839769
"confound_1of8_social_norms_policy_support","weather_risk_prep+trust_science",2,0.136775781334344
"confound_1of8_social_norms_policy_support","weather_risk_prep+policy_support",2,0.0930759755606515
"confound_1of8_social_norms_policy_support","social_norms+trust_science",2,0.0633652912791177
"confound_1of8_social_norms_policy_support","social_norms+policy_support",2,0.0633652912791177
