"spec","description","status"
"baseline","current 16-edge working SCM, no changes","ok"
"confound_1of8_belief_concern_harm_future","belief_concern -> harm_future replaced with residual covariance","ok"
"confound_1of8_politics_policy_support","politics -> policy_support replaced with residual covariance","ok"
"confound_1of8_social_norms_policy_support","social_norms -> policy_support replaced with residual covariance","ok"
"confound_1of8_trust_science_social_norms","trust_science -> social_norms replaced with residual covariance","ok"
"confound_1of8_harm_present_weather_risk_prep","harm_present -> weather_risk_prep replaced with residual covariance","ok"
"confound_1of8_belief_concern_weather_risk_prep","belief_concern -> weather_risk_prep replaced with residual covariance","ok"
"confound_1of8_social_norms_climate_behavior","social_norms -> climate_behavior replaced with residual covariance","ok"
"confound_1of8_weather_risk_prep_climate_behavior","weather_risk_prep -> climate_behavior replaced with residual covariance","ok"
"confound_all8","all 8 bidirected-plurality edges replaced with residual covariances at once","ok"
"reverse_harmfuture_harmpresent","harm_future <-> harm_present reversed (direction-uncertain edge, not bidirected-dominated)","ok"
"drop_harmfuture_trustscience","harm_future -> trust_science dropped entirely, no replacement (existence sensitivity: p_adjacent=.657, 45.6% absent at alpha=.01)","ok"
