"alpha","node","mag_index","effect_std_scale","effect_ate_scale","status"
"0.05","belief_concern",1,NA,NA,"unidentified"
"0.05","harm_present",1,0.277549936203231,0.138774968101615,"identified_nonzero"
"0.05","harm_future",1,0,0,"zero"
"0.05","policy_support",1,0,0,"zero"
"0.05","trust_science",1,0,0,"zero"
"0.05","social_norms",1,0,0,"zero"
"0.05","politics",1,0,0,"zero"
"0.05","weather_risk_prep",1,0.14737151275447,0.0736857563772348,"identified_nonzero"
"0.01","belief_concern",1,0,0,"zero"
"0.01","belief_concern",2,0,0,"zero"
"0.01","belief_concern",3,0,0,"zero"
"0.01","belief_concern",4,0,0,"zero"
"0.01","belief_concern",5,0,0,"zero"
"0.01","belief_concern",6,0,0,"zero"
"0.01","belief_concern",7,0,0,"zero"
"0.01","belief_concern",8,0,0,"zero"
"0.01","belief_concern",9,0,0,"zero"
"0.01","belief_concern",10,0,0,"zero"
"0.01","belief_concern",11,0,0,"zero"
"0.01","belief_concern",12,0,0,"zero"
"0.01","belief_concern",13,0,0,"zero"
"0.01","belief_concern",14,0,0,"zero"
"0.01","belief_concern",15,0,0,"zero"
"0.01","belief_concern",16,0,0,"zero"
"0.01","belief_concern",17,0,0,"zero"
"0.01","belief_concern",18,0,0,"zero"
"0.01","belief_concern",19,0,0,"zero"
"0.01","belief_concern",20,0,0,"zero"
"0.01","belief_concern",21,0,0,"zero"
"0.01","belief_concern",22,0,0,"zero"
"0.01","belief_concern",23,0,0,"zero"
"0.01","belief_concern",24,0,0,"zero"
"0.01","belief_concern",25,0,0,"zero"
"0.01","belief_concern",26,0,0,"zero"
"0.01","belief_concern",27,0,0,"zero"
"0.01","belief_concern",28,0,0,"zero"
"0.01","belief_concern",29,0,0,"zero"
"0.01","belief_concern",30,0,0,"zero"
"0.01","harm_present",1,0.464297674320816,0.232148837160408,"identified_nonzero"
"0.01","harm_present",2,NA,NA,"unidentified"
"0.01","harm_present",3,0.464297674320816,0.232148837160408,"identified_nonzero"
"0.01","harm_present",4,0.50908924026908,0.25454462013454,"identified_nonzero"
"0.01","harm_present",5,0.464297674320816,0.232148837160408,"identified_nonzero"
"0.01","harm_present",6,0.464297674320816,0.232148837160408,"identified_nonzero"
"0.01","harm_present",7,0.50908924026908,0.25454462013454,"identified_nonzero"
"0.01","harm_present",8,0.464297674320816,0.232148837160408,"identified_nonzero"
"0.01","harm_present",9,0.50908924026908,0.25454462013454,"identified_nonzero"
"0.01","harm_present",10,0.50908924026908,0.25454462013454,"identified_nonzero"
"0.01","harm_present",11,0.464297674320816,0.232148837160408,"identified_nonzero"
"0.01","harm_present",12,0.50908924026908,0.25454462013454,"identified_nonzero"
"0.01","harm_present",13,0.50908924026908,0.25454462013454,"identified_nonzero"
"0.01","harm_present",14,NA,NA,"unidentified"
"0.01","harm_present",15,0,0,"zero"
"0.01","harm_present",16,NA,NA,"unidentified"
"0.01","harm_present",17,NA,NA,"unidentified"
"0.01","harm_present",18,0.50908924026908,0.25454462013454,"identified_nonzero"
"0.01","harm_present",19,0,0,"zero"
"0.01","harm_present",20,NA,NA,"unidentified"
"0.01","harm_present",21,NA,NA,"unidentified"
"0.01","harm_present",22,0,0,"zero"
"0.01","harm_present",23,0,0,"zero"
"0.01","harm_present",24,NA,NA,"unidentified"
"0.01","harm_present",25,0.50908924026908,0.25454462013454,"identified_nonzero"
"0.01","harm_present",26,0,0,"zero"
"0.01","harm_present",27,0,0,"zero"
"0.01","harm_present",28,NA,NA,"unidentified"
"0.01","harm_present",29,0,0,"zero"
"0.01","harm_present",30,0,0,"zero"
"0.01","harm_future",1,NA,NA,"unidentified"
"0.01","harm_future",2,0,0,"zero"
"0.01","harm_future",3,NA,NA,"unidentified"
"0.01","harm_future",4,0,0,"zero"
"0.01","harm_future",5,NA,NA,"unidentified"
"0.01","harm_future",6,NA,NA,"unidentified"
"0.01","harm_future",7,0,0,"zero"
"0.01","harm_future",8,NA,NA,"unidentified"
"0.01","harm_future",9,0,0,"zero"
"0.01","harm_future",10,0,0,"zero"
