"alpha","node","n_mags_total","n_zero","n_identified_nonzero","n_unidentified","ate_min","ate_q25","ate_median","ate_q75","ate_max"
"0.05","belief_concern",1,0,0,1,NA,NA,NA,NA,NA
"0.05","harm_present",1,0,1,0,0.138774968101615,0.138774968101615,0.138774968101615,0.138774968101615,0.138774968101615
"0.05","harm_future",1,1,0,0,0,0,0,0,0
"0.05","policy_support",1,1,0,0,0,0,0,0,0
"0.05","trust_science",1,1,0,0,0,0,0,0,0
"0.05","social_norms",1,1,0,0,0,0,0,0,0
"0.05","politics",1,1,0,0,0,0,0,0,0
"0.05","weather_risk_prep",1,0,1,0,0.0736857563772348,0.0736857563772348,0.0736857563772348,0.0736857563772348,0.0736857563772348
"0.01","belief_concern",30,30,0,0,0,0,0,0,0
"0.01","harm_present",30,8,14,8,0,0,0.232148837160408,0.25454462013454,0.25454462013454
"0.01","harm_future",30,24,0,6,0,0,0,0,0
"0.01","policy_support",30,30,0,0,0,0,0,0,0
"0.01","trust_science",30,30,0,0,0,0,0,0,0
"0.01","social_norms",30,30,0,0,0,0,0,0,0
"0.01","politics",30,30,0,0,0,0,0,0,0
"0.01","weather_risk_prep",30,30,0,0,0,0,0,0,0
