"scenario","node","ate","combo_type"
"combo_0","belief_concern",0.201272438461644,"baseline"
"combo_0","harm_present",0.186965335962417,"baseline"
"combo_0","weather_risk_prep",0.0930759991784261,"baseline"
"combo_0","social_norms",0.0633652634284836,"baseline"
"combo_0","trust_science",0.0436997792836055,"baseline"
"combo_0","policy_support",0,"baseline"
"combo_0","harm_future",0.129295277380915,"baseline"
"combo_0","politics",0,"baseline"
"combo_2","belief_concern",0.201945877751264,"acyclic"
"combo_2","harm_present",0.147101115272602,"acyclic"
"combo_2","weather_risk_prep",0.108936707856434,"acyclic"
"combo_2","social_norms",0.0635769739812531,"acyclic"
"combo_2","trust_science",0.0438457860544793,"acyclic"
"combo_2","policy_support",0,"acyclic"
"combo_2","harm_future",0.099938636547082,"acyclic"
"combo_2","politics",0,"acyclic"
"combo_3","belief_concern",0.150917948971882,"acyclic"
"combo_3","harm_present",0.147100370262274,"acyclic"
"combo_3","weather_risk_prep",0.179629136450089,"acyclic"
"combo_3","social_norms",0.0635776709539534,"acyclic"
"combo_3","trust_science",0.0438462728470076,"acyclic"
"combo_3","policy_support",0,"acyclic"
"combo_3","harm_future",0.0999382962397408,"acyclic"
"combo_3","politics",0,"acyclic"
"combo_4","belief_concern",0.201964078241648,"acyclic"
"combo_4","harm_present",0.228729735524869,"acyclic"
"combo_4","weather_risk_prep",0.0973700926998993,"acyclic"
"combo_4","social_norms",0,"acyclic"
"combo_4","trust_science",0,"acyclic"
"combo_4","policy_support",0,"acyclic"
"combo_4","harm_future",0.145429027563945,"acyclic"
"combo_4","politics",0,"acyclic"
"combo_6","belief_concern",0.20279950998222,"acyclic"
"combo_6","harm_present",0.187119938302271,"acyclic"
"combo_6","weather_risk_prep",0.117552255796171,"acyclic"
"combo_6","social_norms",0,"acyclic"
"combo_6","trust_science",0,"acyclic"
"combo_6","policy_support",0,"acyclic"
"combo_6","harm_future",0.11382718279766,"acyclic"
"combo_6","politics",0,"acyclic"
"combo_7","belief_concern",0.147736100984387,"acyclic"
"combo_7","harm_present",0.187119938302242,"acyclic"
"combo_7","weather_risk_prep",0.186754274057339,"acyclic"
"combo_7","social_norms",0,"acyclic"
"combo_7","trust_science",0,"acyclic"
"combo_7","policy_support",0,"acyclic"
"combo_7","harm_future",0.113827182797666,"acyclic"
"combo_7","politics",0,"acyclic"
"combo_8","belief_concern",0.201272139772873,"acyclic"
"combo_8","harm_present",0.192804120987485,"acyclic"
"combo_8","weather_risk_prep",0.0930760135358505,"acyclic"
"combo_8","social_norms",0.0633659340129504,"acyclic"
"combo_8","trust_science",0.0437002574566134,"acyclic"
"combo_8","policy_support",0,"acyclic"
"combo_8","harm_future",0.0104206601371024,"acyclic"
"combo_8","politics",0,"acyclic"
"combo_10","belief_concern",0.201272318740275,"acyclic"
"combo_10","harm_present",0.153178009386602,"acyclic"
"combo_10","weather_risk_prep",0.118386677134369,"acyclic"
"combo_10","social_norms",0.0633652953542587,"acyclic"
"combo_10","trust_science",0.0436998105545121,"acyclic"
"combo_10","policy_support",0,"acyclic"
"combo_10","harm_future",0.0104205513267757,"acyclic"
"combo_10","politics",0,"acyclic"
"combo_11","belief_concern",0.145818095962875,"acyclic"
"combo_11","harm_present",0.15317801980639,"acyclic"
"combo_11","weather_risk_prep",0.186690355979526,"acyclic"
"combo_11","social_norms",0.0633653906142351,"acyclic"
"combo_11","trust_science",0.0436998754153698,"acyclic"
"combo_11","policy_support",0,"acyclic"
"combo_11","harm_future",0.0104205682180347,"acyclic"
"combo_11","politics",0,"acyclic"
"combo_12","belief_concern",0.201964078241658,"acyclic"
"combo_12","harm_present",0.228729735524882,"acyclic"
