"target_label","target_size","ate_baseline","ate_min","ate_max","range","n_specs"
"harm_present+weather_risk_prep+social_norms",3,0.305448933501369,0.284644881818059,0.305448933501382,0.0208040516833231,16
"harm_present+weather_risk_prep+trust_science",3,0.282562538849936,0.28256253884993,0.284644881818075,0.00208234296814497,16
"belief_concern+harm_present+weather_risk_prep",3,0.280923758901931,0.275076496059877,0.284644881818075,0.00956838575819774,16
"belief_concern+weather_risk_prep+social_norms",3,0.279760216392479,0.253724418902522,0.279760216392494,0.0260357974899721,16
"belief_concern+harm_future+weather_risk_prep",3,0.270638526315137,0.252248847822588,0.271609551719724,0.0193607038971361,16
"harm_present+weather_risk_prep+policy_support",3,0.264573353193719,0.240414200446433,0.284644881818075,0.0442306813716414,16
"belief_concern+harm_present+social_norms",3,0.262646614701823,0.23972906165602,0.262646614701834,0.0229175530458137,16
"belief_concern+weather_risk_prep+trust_science",3,0.262305162501954,0.253724418902522,0.26327618790654,0.00955176900401733,16
"belief_concern+weather_risk_prep+policy_support",3,0.259697909602278,0.250749787478896,0.259697909602291,0.00894812212339507,16
"harm_present+harm_future+weather_risk_prep",3,0.256528225369825,0.250834420747382,0.284644881818075,0.0338104610706923,16
"belief_concern+weather_risk_prep",2,0.255235041793041,0.250749787478896,0.256206067197629,0.00545627971873297,16
"harm_present+harm_future+social_norms",3,0.252164858787153,0.228729735524869,0.252164858787163,0.0234351232622942,16
"harm_present+social_norms",2,0.252164858787153,0.228729735524869,0.252164858787163,0.0234351232622942,16
"harm_present+social_norms+policy_support",3,0.252164858787153,0.228729735524869,0.252164858787163,0.0234351232622942,16
"harm_present+social_norms+trust_science",3,0.252164858787153,0.228729735524869,0.252164858787163,0.0234351232622942,16
"harm_future+weather_risk_prep+social_norms",3,0.248785640463517,0.0973700926998993,0.250120867134303,0.152750774434404,16
"harm_present+weather_risk_prep",2,0.24837624391964,0.240414200446433,0.284644881818075,0.0442306813716414,16
"belief_concern+harm_future+social_norms",3,0.248279470919824,0.201964078241648,0.248279470919836,0.0463153926781876,16
"belief_concern+harm_present+trust_science",3,0.245191560811298,0.23972906165602,0.246162586215879,0.00643352455985893,16
"belief_concern+harm_present+policy_support",3,0.242584307911621,0.23214146795708,0.243163242480242,0.0110217745231617,16
"belief_concern+harm_present+harm_future",3,0.239294142303489,0.233640396453426,0.240265167708073,0.00662477125464664,16
"belief_concern+harm_present",2,0.238121440102385,0.23214146795708,0.239846719306201,0.00770525134912059,16
"harm_present+trust_science+policy_support",3,0.237529289372018,0.228729735524869,0.237529289372025,0.00879955384715533,16
"belief_concern+harm_future+trust_science",3,0.230824417029299,0.201964078241648,0.231795442433881,0.0298313641922328,16
"belief_concern+social_norms",2,0.230435444092934,0.201964078241648,0.230435444092948,0.0284713658512995,16
"belief_concern+social_norms+policy_support",3,0.230435444092934,0.201964078241648,0.230435444092948,0.0284713658512995,16
"belief_concern+social_norms+trust_science",3,0.230435444092934,0.201964078241648,0.230435444092948,0.0284713658512995,16
"harm_present+harm_future+trust_science",3,0.22927846413572,0.228729735524869,0.230665115246023,0.00193537972115354,16
"harm_present+trust_science",2,0.22927846413572,0.228729735524869,0.230665115246023,0.00193537972115354,16
"belief_concern+harm_future+policy_support",3,0.229117282688636,0.201964078241648,0.229117282688646,0.0271532044469975,16
"harm_future+weather_risk_prep+trust_science",3,0.225899245812083,0.0973700926998993,0.230455357906678,0.133085265206778,16
"belief_concern+harm_future",2,0.224926998521491,0.201964078241648,0.225898023926075,0.0239339456844267,16
"harm_present+harm_future+policy_support",3,0.217546408200187,0.197385183966737,0.228729735524882,0.0313445515581456,16
"belief_concern+trust_science+policy_support",3,0.215799874677799,0.201964078241648,0.215799874677809,0.0138357964361606,16
"harm_future+weather_risk_prep+policy_support",3,0.21416718987655,0.0973700926998993,0.216441582929197,0.119071490229298,16
"belief_concern+trust_science",2,0.212980390202409,0.201964078241648,0.213951415606993,0.0119873373653447,16
"harm_present+policy_support",2,0.211289278479503,0.186964920347681,0.228729735524882,0.0417648151772014,16
"belief_concern+policy_support",2,0.210373137302733,0.201272139772873,0.210373137302744,0.00910099752987117,16
"belief_concern",1,0.205910269493496,0.201272139772873,0.206881294898082,0.0056091551252091,16
"harm_present+harm_future",2,0.203244150655609,0.197385183966737,0.228729735524882,0.0313445515581456,16
"harm_future+weather_risk_prep",2,0.199864932331973,0.0973700926998993,0.216441582929197,0.119071490229298,16
"harm_present",1,0.195092169205424,0.186964920347681,0.228729735524882,0.0417648151772014,16
"harm_future+social_norms",2,0.181114561040985,0,0.182239996259237,0.182239996259237,16
"harm_future+social_norms+policy_support",3,0.181114561040985,0,0.182239996259237,0.182239996259237,16
"harm_future+social_norms+trust_science",3,0.181114561040985,0,0.182239996259237,0.182239996259237,16
"harm_future+trust_science+policy_support",3,0.16647899162585,0,0.166478991625854,0.166478991625854,16
"harm_future+trust_science",2,0.158228166389552,0,0.162574512114359,0.162574512114359,16
