"node","ate","outcome"
"belief_concern",0.2104,"mitig4"
"harm_present",0.2309,"mitig4"
"weather_risk_prep",0.0685,"mitig4"
"social_norms",0.0405,"mitig4"
"trust_science",0.0097,"mitig4"
"policy_support",0.0065,"mitig4"
"belief_concern",0.1164,"evacuate"
"harm_present",0.109,"evacuate"
"weather_risk_prep",0.1299,"evacuate"
"social_norms",0.0439,"evacuate"
"trust_science",0.0105,"evacuate"
"policy_support",0.007,"evacuate"
"belief_concern",0.0947,"move"
"harm_present",0.0943,"move"
"weather_risk_prep",0.0556,"move"
"social_norms",0.0398,"move"
"trust_science",0.0095,"move"
"policy_support",0.0064,"move"
