"from","existence_pct","outcome"
"harm_present",91.8,"mitig4"
"policy_support",79.8,"mitig4"
"belief_concern",68,"mitig4"
"social_norms",62.3,"mitig4"
"weather_risk_prep",35.9,"mitig4"
"harm_future",0.2,"mitig4"
"politics",0.2,"mitig4"
"trust_science",0,"mitig4"
"weather_risk_prep",100,"evacuate"
"social_norms",53,"evacuate"
"policy_support",26.9,"evacuate"
"harm_present",7.6,"evacuate"
"belief_concern",0.1,"evacuate"
"harm_future",0,"evacuate"
"trust_science",0,"evacuate"
"politics",0,"evacuate"
"harm_present",69.4,"move"
"weather_risk_prep",60.4,"move"
"social_norms",35.3,"move"
"policy_support",0.8,"move"
"belief_concern",0.2,"move"
"harm_future",0,"move"
"trust_science",0,"move"
"politics",0,"move"
