"from","weight","outcome"
"harm_present",0.123448826578581,"mitig4"
"policy_support",0.100453986086536,"mitig4"
"social_norms",0.0955469581591061,"mitig4"
"belief_concern",0.0946933832763177,"mitig4"
"weather_risk_prep",0.071201336111655,"mitig4"
"harm_future",0,"mitig4"
"trust_science",0,"mitig4"
"politics",0,"mitig4"
"weather_risk_prep",0.206285554544034,"evacuate"
"social_norms",0.0809664438200275,"evacuate"
"policy_support",0.0548749290130485,"evacuate"
"harm_present",0.0349564357200009,"evacuate"
"politics",-0.0264071718881072,"evacuate"
"belief_concern",0,"evacuate"
"harm_future",0,"evacuate"
"trust_science",0,"evacuate"
"weather_risk_prep",0.0871508326407344,"move"
"harm_present",0.0780646780190092,"move"
"social_norms",0.0640916445995882,"move"
"trust_science",-0.0153025756273567,"move"
"belief_concern",0,"move"
"harm_future",0,"move"
"policy_support",0,"move"
"politics",0,"move"
