"target","times_ranked_first","pct_ranked_first"
"harm_present+weather_risk_prep+social_norms",1000,100
"belief_concern+harm_present+harm_future",0,0
"belief_concern+harm_present+weather_risk_prep",0,0
"belief_concern+harm_present+social_norms",0,0
"belief_concern+harm_present+trust_science",0,0
"belief_concern+harm_present+policy_support",0,0
"belief_concern+harm_future+weather_risk_prep",0,0
"belief_concern+harm_future+social_norms",0,0
"belief_concern+harm_future+trust_science",0,0
"belief_concern+harm_future+policy_support",0,0
"belief_concern+weather_risk_prep+social_norms",0,0
"belief_concern+weather_risk_prep+trust_science",0,0
"belief_concern+weather_risk_prep+policy_support",0,0
"belief_concern+social_norms+trust_science",0,0
"belief_concern+social_norms+policy_support",0,0
"belief_concern+trust_science+policy_support",0,0
"harm_present+harm_future+weather_risk_prep",0,0
"harm_present+harm_future+social_norms",0,0
"harm_present+harm_future+trust_science",0,0
"harm_present+harm_future+policy_support",0,0
"harm_present+weather_risk_prep+trust_science",0,0
"harm_present+weather_risk_prep+policy_support",0,0
"harm_present+social_norms+trust_science",0,0
"harm_present+social_norms+policy_support",0,0
"harm_present+trust_science+policy_support",0,0
"harm_future+weather_risk_prep+social_norms",0,0
"harm_future+weather_risk_prep+trust_science",0,0
"harm_future+weather_risk_prep+policy_support",0,0
"harm_future+social_norms+trust_science",0,0
"harm_future+social_norms+policy_support",0,0
"harm_future+trust_science+policy_support",0,0
"weather_risk_prep+social_norms+trust_science",0,0
"weather_risk_prep+social_norms+policy_support",0,0
"weather_risk_prep+trust_science+policy_support",0,0
"social_norms+trust_science+policy_support",0,0
