"from","to","current_evidence","p_adjacent","avg_n","asymmetry","existence_band","orientation_label","final_tier","current_tier_expected","mismatch","avg_n_published","asymmetry_published","avg_n_drift","asymmetry_drift","table2_stale","note"
"politics","belief_concern","substantive",0.9125,0.0875,-0.3565,"included","theory-needed","substantive","substantive",FALSE,0.07,-0.26,0.0175,-0.0965,FALSE,""
"belief_concern","harm_future","bootstrap_theory",1,0,0.185,"included","bootstrap-resolved","data_aligned","data_aligned",FALSE,0,0.36,0,-0.175,TRUE,""
"belief_concern","harm_present","bootstrap_theory",0.999,0.001,0.271,"included","bootstrap-resolved","data_aligned","data_aligned",FALSE,0,0.12,0.001,0.151,TRUE,""
"harm_future","harm_present","bootstrap",1,0,0.243,"included","bootstrap-resolved","data_aligned","data_aligned",FALSE,0,0.3,0,-0.057,FALSE,""
"belief_concern","trust_science","substantive",1,0,0.4795,"included","bootstrap-resolved","data_aligned","substantive",TRUE,0,-0.2,0,0.6795,TRUE,""
"belief_concern","policy_support","bootstrap_theory",0.9465,0.0535,0.551,"included","bootstrap-resolved","data_aligned","data_aligned",FALSE,0.07,0.22,-0.0165,0.331,TRUE,""
"politics","policy_support","bootstrap",0.9685,0.0315,0.272,"included","bootstrap-resolved","data_aligned","data_aligned",FALSE,0.03,0.2,0.00149999999999997,0.0719999999999999,FALSE,""
"trust_science","policy_support","bootstrap_theory",1,0,0.4165,"included","bootstrap-resolved","data_aligned","data_aligned",FALSE,0,0.22,0,0.1965,TRUE,""
"trust_science","social_norms","bootstrap",0.019,0.981,-0.001,"weak","theory-needed","FLAG_WEAK_EXISTENCE","data_aligned",TRUE,0,0.18,0.981,-0.181,TRUE,""
"policy_support","social_norms","substantive",0.072,0.928,-0.0175,"weak","theory-needed","FLAG_WEAK_EXISTENCE","substantive",TRUE,0.21,-0.38,0.718,0.3625,TRUE,""
"harm_present","weather_risk_prep","substantive",0.8745,0.1255,-0.0329999999999999,"included","theory-needed","substantive","substantive",FALSE,0.36,-0.17,-0.2345,0.137,TRUE,""
"harm_present","climate_behavior","bootstrap",0.908,0.092,0.464,"included","bootstrap-resolved","data_aligned","data_aligned",FALSE,0.08,0.52,0.012,-0.056,FALSE,""
"weather_risk_prep","climate_behavior","bootstrap",0.9085,0.0915,0.3735,"included","bootstrap-resolved","data_aligned","data_aligned",FALSE,0,0.53,0.0915,-0.1565,TRUE,""
"social_norms","climate_behavior","weak",0.7505,0.2495,0.444,"included","bootstrap-resolved","data_aligned","substantive",TRUE,0.38,0,-0.1305,0.444,TRUE,"Unconditional RCoT p ~ 1e-16 (stable across 20 seeds); no single main-network variable, conditioned on individually, explains it away; conditional on the full network jointly, 60-65% support under two independent methods (npn primary: 0.6615; RCoT diagnostic: 12-13/20 seeds significant at safe num_f, i.e. not resolved by adding more random features). See r_patches/17_diagnostic_rcot_social_norms_behavior.R."
"belief_concern","weather_risk_prep","new_2026-09-03",0.976,0.024,0.1085,"included","bootstrap-resolved","data_aligned",NA,FALSE,NA,NA,NA,NA,FALSE,"Added 2026-09-03: existence is robust (p_adjacent=.946, higher than 10 of the other 14 edges), clearing the same 60% rule as every other edge. Orientation is only weakly resolved (raw asymmetry +.065, versus +.15 to +.55 for other data_aligned edges), with high arrowhead mass at BOTH endpoints (.77 at belief_concern, .83 at weather_risk_prep) and little circle/undetermined mass at either -- a pattern at least as consistent with a shared latent upstream cause as with a clean directed effect. Rendered solid (data_aligned) per the same sign-only rule used everywhere else, but this note exists so the figure's solid line does not overstate how cleanly this one is resolved."
"harm_future","trust_science","new_2026-09-03c",0.7515,0.2485,0.3345,"included","bootstrap-resolved","data_aligned",NA,FALSE,NA,NA,NA,NA,FALSE,"Added 2026-09-03 (second candidate-scan pass, threshold matched to 60%): existence is close to the skeleton floor (p_adjacent=.657, versus .946 for belief_concern->weather_risk_prep and 78%+ for every one of the original 14 edges) -- a genuinely thinner margin, worth a bootstrap-seed sensitivity check if one is wanted specifically for this edge. Unlike weather_risk_prep, orientation itself IS cleanly resolved here (raw asymmetry +.2865, squarely within the +.15 to +.55 range typical of already-resolved edges, no both-ends-high-arrowhead pattern). No established theoretical story for this direction has been discussed yet (unlike weather_risk_prep, where belief_concern as a second driver of weather-risk perception is an easy substantive story) -- worth a sentence in Methods/Discussion regardless."
