"scenario","flipped_edges","n_flipped","cfi","tli","rmsea","srmr","aic","bic"
"combo_0","(none -- baseline)",0,0.975151034221102,0.955271861597984,0.0894331806600992,0.03860748202126,-4499.28128568232,-4380.0689553911
"combo_1","politics -> belief_concern",1,0.975151034221245,0.955271861598241,0.0894331806598419,0.03860748202126,-4499.28128568233,-4380.06895539111
"combo_2","policy_support -> social_norms",1,0.97800698939786,0.958329032543313,0.0863227081440182,0.0385582367646786,-4514.21842799759,-4390.23760449473
"combo_4","social_norms -> climate_behavior",1,0.976690654280255,0.958043177704459,0.0866182807225418,0.0349569155775223,-4507.89377776245,-4388.68144747124
"combo_8","harm_future -> harm_present",1,0.975151034221143,0.955271861598058,0.0894331806600251,0.03860748202126,-4499.28128568232,-4380.0689553911
"combo_10","policy_support -> social_norms; harm_future -> harm_present",2,0.978006989842156,0.958329033385137,0.0863227072720856,0.0385584772383282,-4514.21842799437,-4390.23760449151
"combo_12","social_norms -> climate_behavior; harm_future -> harm_present",2,0.976690654280251,0.958043177704452,0.0866182807225487,0.0349569155775223,-4507.89377776246,-4388.68144747124
"combo_3","politics -> belief_concern; policy_support -> social_norms",2,0.9780069908296,0.958329035256084,0.0863227053342235,0.0385583654062448,-4514.21842799752,-4390.23760449466
"combo_5","politics -> belief_concern; social_norms -> climate_behavior",2,0.976690654280293,0.958043177704527,0.0866182807224713,0.0349569155775223,-4507.89377776245,-4388.68144747124
"combo_6","policy_support -> social_norms; social_norms -> climate_behavior",2,0.977978281240154,0.960360906232278,0.0841918637433091,0.0338250307992998,-4515.1325529082,-4395.92022261699
"combo_9","politics -> belief_concern; harm_future -> harm_present",2,0.97515103422108,0.955271861597943,0.0894331806601396,0.03860748202126,-4499.28128568232,-4380.0689553911
"combo_11","politics -> belief_concern; policy_support -> social_norms; harm_future -> harm_present",3,0.978006990906253,0.958329035401322,0.0863227051837905,0.0385581247235115,-4514.21842799897,-4390.2376044961
"combo_13","politics -> belief_concern; social_norms -> climate_behavior; harm_future -> harm_present",3,0.976690654280239,0.958043177704431,0.0866182807225709,0.0349569155775223,-4507.89377776245,-4388.68144747124
"combo_14","policy_support -> social_norms; social_norms -> climate_behavior; harm_future -> harm_present",3,0.977978281240231,0.960360906232416,0.0841918637431625,0.0338250307992998,-4515.13255290821,-4395.92022261699
"combo_7","politics -> belief_concern; policy_support -> social_norms; social_norms -> climate_behavior",3,0.977978281240383,0.96036090623269,0.0841918637428716,0.0338250307992997,-4515.1325529082,-4395.92022261699
"combo_15","politics -> belief_concern; policy_support -> social_norms; social_norms -> climate_behavior; harm_future -> harm_present",4,0.977978281240245,0.960360906232442,0.0841918637431352,0.0338250307993006,-4515.1325529082,-4395.92022261699
