"target_label","target_size","ate_baseline","ate_min","ate_max","range","n_specs"
"harm_present+weather_risk_prep+social_norms",3,0.316667668805639,0.284644881818059,0.316667668805639,0.03202278698758,16
"belief_concern+weather_risk_prep+social_norms",3,0.287527015064139,0.253724418902522,0.287527015064139,0.033802596161617,16
"belief_concern+harm_present+weather_risk_prep",3,0.280311340192053,0.274792023977747,0.284644881818071,0.00985285784032486,16
"harm_present+weather_risk_prep+trust_science",3,0.280112398543265,0.27783984136436,0.284644881818071,0.00680504045371133,16
"harm_present+weather_risk_prep+policy_support",3,0.276289984014281,0.263102678234476,0.284644881818071,0.0215422035835952,16
"belief_concern+harm_present+social_norms",3,0.274184833244451,0.23972906165602,0.274184833244451,0.034455771588431,16
"harm_present+harm_future+weather_risk_prep",3,0.271338265878702,0.266616866537475,0.284644881818071,0.0180280152805965,16
"harm_present+weather_risk_prep",2,0.268590869955332,0.263102678234476,0.284644881818071,0.0215422035835952,16
"belief_concern+harm_future+weather_risk_prep",3,0.267708964878726,0.247078233841209,0.270853432202412,0.0237751983612031,16
"harm_present+harm_future+social_norms",3,0.263781314804227,0.228729735524869,0.263781314804227,0.0350515792793578,16
"harm_present+social_norms",2,0.263781314804227,0.228729735524869,0.263781314804227,0.0350515792793578,16
"harm_present+social_norms+policy_support",3,0.263781314804227,0.228729735524869,0.263781314804227,0.0350515792793578,16
"harm_present+social_norms+trust_science",3,0.263781314804227,0.228729735524869,0.263781314804227,0.0350515792793578,16
"belief_concern+harm_future+social_norms",3,0.258299737457377,0.201964078241648,0.258299737457377,0.0563356592157294,16
"belief_concern+weather_risk_prep+trust_science",3,0.253553471658308,0.249620349076826,0.254015037683297,0.00439468860647096,16
"belief_concern+weather_risk_prep+policy_support",3,0.253292060561939,0.246572531690213,0.253724418902537,0.00715188721232424,16
"harm_future+weather_risk_prep+social_norms",3,0.252390212081342,0.0973700926998993,0.252390212081342,0.155020119381442,16
"belief_concern+weather_risk_prep",2,0.251170686450553,0.246572531690213,0.253724418902537,0.00715188721232424,16
"belief_concern+harm_present+trust_science",3,0.24021128983862,0.235314964153518,0.240672855863609,0.00535789171009105,16
"belief_concern+harm_present+policy_support",3,0.239949878742251,0.232267146766904,0.24012074272994,0.00785359596303553,16
"belief_concern+social_norms",2,0.23857041062156,0.201964078241648,0.23857041062156,0.0366063323799115,16
"belief_concern+social_norms+policy_support",3,0.23857041062156,0.201964078241648,0.23857041062156,0.0366063323799115,16
"belief_concern+social_norms+trust_science",3,0.23857041062156,0.201964078241648,0.23857041062156,0.0366063323799115,16
"belief_concern+harm_present+harm_future",3,0.238223730903929,0.232772680253214,0.239729061656029,0.00695638140281493,16
"belief_concern+harm_present",2,0.237828504630865,0.232267146766904,0.239729061656029,0.00746191488912498,16
"harm_present+trust_science+policy_support",3,0.231147981691241,0.224901160052869,0.231147981691241,0.00624682163837198,16
"harm_present+harm_future+trust_science",3,0.227226044541853,0.224901160052869,0.228729735524878,0.0038285754720086,16
"harm_present+trust_science",2,0.227226044541853,0.224901160052869,0.228729735524878,0.0038285754720086,16
"harm_present+harm_future+policy_support",3,0.225250329438897,0.213678185225984,0.228729735524878,0.0150515502988938,16
