scenario,flipped_edges,n_flipped,cfi,tli,rmsea,srmr,aic,bic
combo_0,(none -- baseline),0,0.9791730732857673,0.9625115319143811,0.0855283782141379,0.03909205072711115,-4790.013661718041,-4670.801331426825
combo_1,politics -> belief_concern,1,0.979173073285624,0.9625115319141231,0.08552837821443213,0.039092050727118036,-4790.01366171804,-4670.801331426824
combo_2,policy_support -> social_norms,1,0.9783998169045368,0.9590733372928066,0.08936440255030356,0.0462843278360863,-4784.217517756495,-4660.236694253631
combo_4,social_norms -> climate_behavior,1,0.9809903901904538,0.9657827023428168,0.08171169960677249,0.03636182491046041,-4801.046937277711,-4681.834606986495
combo_8,harm_future -> harm_present,1,0.9791730732855346,0.9625115319139623,0.08552837821461551,0.039092050727118056,-4790.01366171804,-4670.801331426824
combo_10,policy_support -> social_norms; harm_future -> harm_present,2,0.9783998173067856,0.9590733380549623,0.08936440171821049,0.0462842243987621,-4784.217517756342,-4660.236694253478
combo_12,social_norms -> climate_behavior; harm_future -> harm_present,2,0.980990390190412,0.9657827023427417,0.08171169960686231,0.03636182491046041,-4801.0469372777125,-4681.8346069864965
combo_3,politics -> belief_concern; policy_support -> social_norms,2,0.978399817182425,0.9590733378193315,0.08936440197546341,0.04628387229047704,-4784.217517754446,-4660.236694251582
combo_5,politics -> belief_concern; social_norms -> climate_behavior,2,0.9809903901904372,0.965782702342787,0.08171169960680819,0.03636182491045802,-4801.0469372777125,-4681.8346069864965
combo_6,policy_support -> social_norms; social_norms -> climate_behavior,2,0.9806182627840391,0.9651128730112704,0.08250760734353392,0.03939907918080099,-4798.798110906902,-4679.585780615686
combo_9,politics -> belief_concern; harm_future -> harm_present,2,0.9791730732857443,0.9625115319143399,0.08552837821418487,0.039092050727113845,-4790.013661718045,-4670.801331426829
combo_11,politics -> belief_concern; policy_support -> social_norms; harm_future -> harm_present,3,0.9783998162062875,0.9590733359698078,0.08936440399470418,0.04628393022188673,-4784.217517753639,-4660.236694250775
combo_13,politics -> belief_concern; social_norms -> climate_behavior; harm_future -> harm_present,3,0.9809903901904166,0.9657827023427498,0.08171169960685258,0.03636182491046041,-4801.046937277714,-4681.834606986498
combo_14,policy_support -> social_norms; social_norms -> climate_behavior; harm_future -> harm_present,3,0.9806182627841025,0.9651128730113845,0.08250760734339889,0.039399079180800996,-4798.798110906903,-4679.585780615687
combo_7,politics -> belief_concern; policy_support -> social_norms; social_norms -> climate_behavior,3,0.9806182627842188,0.9651128730115939,0.08250760734315127,0.03939907918080099,-4798.798110906901,-4679.585780615685
combo_15,politics -> belief_concern; policy_support -> social_norms; social_norms -> climate_behavior; harm_future -> harm_present,4,0.9806182627839632,0.9651128730111339,0.08250760734369518,0.03939907918080254,-4798.798110906901,-4679.585780615685
