"target_label","target_size","det_baseline","det_min","det_max","mc_baseline","mc_min","mc_max","diff_baseline","diff_min","diff_max"
"harm_present+weather_risk_prep+social_norms",3,0.305448933501369,0.284644881818059,0.305448933501382,0.311477632020942,0.28626906049936,0.312253181099421,-0.006,-0.0016,-0.0068
"harm_present+weather_risk_prep+trust_science",3,0.282562538849936,0.28256253884993,0.284644881818075,0.287875590590304,0.287101756581901,0.290058926897322,-0.0053,-0.0045,-0.0054
"belief_concern+harm_present+weather_risk_prep",3,0.280923758901931,0.275076496059877,0.284644881818075,0.285996308618499,0.279571828476323,0.290058926897322,-0.0051,-0.0045,-0.0054
"belief_concern+weather_risk_prep+social_norms",3,0.279760216392479,0.253724418902522,0.279760216392494,0.285534174562685,0.254552959918645,0.285597713188637,-0.0058,-8e-04,-0.0058
"harm_present+weather_risk_prep+policy_support",3,0.264573353193719,0.240414200446433,0.284644881818075,0.269799482812492,0.244588957585582,0.289668350079574,-0.0052,-0.0042,-0.005
"belief_concern+harm_present+social_norms",3,0.262646614701823,0.23972906165602,0.262646614701834,0.267453133433319,0.24054751135346,0.268228682511796,-0.0048,-8e-04,-0.0056
"belief_concern+weather_risk_prep+trust_science",3,0.262305162501954,0.253724418902522,0.26327618790654,0.267027432903777,0.257014077938283,0.267955176584309,-0.0047,-0.0033,-0.0047
"belief_concern+weather_risk_prep+policy_support",3,0.259697909602278,0.250749787478896,0.259697909602291,0.264662727596871,0.253951611816662,0.26476122035804,-0.005,-0.0032,-0.0051
"belief_concern+weather_risk_prep",2,0.255235041793041,0.250749787478896,0.256206067197629,0.253327399868719,0.246481872639282,0.265990619160574,0.0019,0.0043,-0.0098
"harm_present+social_norms",2,0.252164858787153,0.228729735524869,0.252164858787163,0.251035157214498,0.234162501456743,0.251704878863212,0.0011,-0.0054,5e-04
"harm_present+social_norms+policy_support",3,0.252164858787153,0.228729735524869,0.252164858787163,0.256967237363919,0.237209048863076,0.257636959012633,-0.0048,-0.0085,-0.0055
"harm_present+social_norms+trust_science",3,0.252164858787153,0.228729735524869,0.252164858787163,0.256967237363919,0.229666316300337,0.257636959012633,-0.0048,-9e-04,-0.0055
"harm_present+weather_risk_prep",2,0.24837624391964,0.240414200446433,0.284644881818075,0.246729758296395,0.237119219156732,0.297810358147946,0.0016,0.0033,-0.0132
"belief_concern+harm_present+trust_science",3,0.245191560811298,0.23972906165602,0.246162586215879,0.249813002758856,0.243381667810269,0.251588268302733,-0.0046,-0.0037,-0.0054
"belief_concern+harm_present+policy_support",3,0.242584307911621,0.23214146795708,0.243163242480242,0.247152763231736,0.235410831341895,0.247874705267311,-0.0046,-0.0033,-0.0047
"belief_concern+harm_present",2,0.238121440102385,0.23214146795708,0.239846719306201,0.235308965442335,0.227941092913045,0.251612009162549,0.0028,0.0042,-0.0118
"harm_present+trust_science+policy_support",3,0.237529289372018,0.228729735524869,0.237529289372025,0.242279850769504,0.229666316300337,0.242949572418214,-0.0048,-9e-04,-0.0054
"belief_concern+social_norms",2,0.230435444092934,0.201964078241648,0.230435444092948,0.228990462876051,0.20637340855045,0.228990462876051,0.0014,-0.0044,0.0014
"belief_concern+social_norms+policy_support",3,0.230435444092934,0.201964078241648,0.230435444092948,0.234922543025472,0.209419955956775,0.235754222839412,-0.0045,-0.0075,-0.0053
"belief_concern+social_norms+trust_science",3,0.230435444092934,0.201964078241648,0.230435444092948,0.234498490066403,0.201380055713901,0.235754222839412,-0.0041,6e-04,-0.0053
