scenario,target_label,target_size,ate_climate_behavior
combo_0,belief_concern,1,0.20213119958321188
combo_0,harm_present,1,0.19163479489107782
combo_0,weather_risk_prep,1,0.0874440189559572
combo_0,social_norms,1,0.05096247545803553
combo_0,trust_science,1,0.029345525027996013
combo_0,policy_support,1,0.01070957928541343
combo_0,belief_concern+harm_present,2,0.23530896544233512
combo_0,belief_concern+weather_risk_prep,2,0.2533273998687189
combo_0,belief_concern+social_norms,2,0.22899046287605068
combo_0,belief_concern+trust_science,2,0.20966709011578186
combo_0,belief_concern+policy_support,2,0.20738825147111697
combo_0,harm_present+weather_risk_prep,2,0.24672975829639499
combo_0,harm_present+social_norms,2,0.2510351572144976
combo_0,harm_present+trust_science,2,0.2267023513447404
combo_0,harm_present+policy_support,2,0.20862624356692824
combo_0,weather_risk_prep+social_norms,2,0.14668099904679685
combo_0,weather_risk_prep+trust_science,2,0.12427230846710365
combo_0,weather_risk_prep+policy_support,2,0.10576240180739177
combo_0,social_norms+trust_science,2,0.05432550634902914
combo_0,social_norms+policy_support,2,0.0537030616812771
combo_0,trust_science+policy_support,2,0.03833627855126369
combo_0,belief_concern+harm_present+weather_risk_prep,3,0.28599630861849856
combo_0,belief_concern+harm_present+social_norms,3,0.26745313343331933
combo_0,belief_concern+harm_present+trust_science,3,0.24981300275885582
combo_0,belief_concern+harm_present+policy_support,3,0.2471527632317358
combo_0,belief_concern+weather_risk_prep+social_norms,3,0.2855341745626849
combo_0,belief_concern+weather_risk_prep+trust_science,3,0.26702743290377673
combo_0,belief_concern+weather_risk_prep+policy_support,3,0.26466272759687076
combo_0,belief_concern+social_norms+trust_science,3,0.23449849006640291
combo_0,belief_concern+social_norms+policy_support,3,0.23492254302547208
combo_0,belief_concern+trust_science+policy_support,3,0.2198111034719876
combo_0,harm_present+weather_risk_prep+social_norms,3,0.31147763202094186
combo_0,harm_present+weather_risk_prep+trust_science,3,0.2878755905903042
combo_0,harm_present+weather_risk_prep+policy_support,3,0.26979948281249205
combo_0,harm_present+social_norms+trust_science,3,0.25696723736391897
combo_0,harm_present+social_norms+policy_support,3,0.25696723736391897
combo_0,harm_present+trust_science+policy_support,3,0.24227985076950365
combo_0,weather_risk_prep+social_norms+trust_science,3,0.15459980118926392
combo_0,weather_risk_prep+social_norms+policy_support,3,0.15410339560438246
combo_0,weather_risk_prep+trust_science+policy_support,3,0.13934133783061803
combo_0,social_norms+trust_science+policy_support,3,0.06025758649845053
combo_1,belief_concern,1,0.20277391364418296
combo_1,harm_present,1,0.19204557171325182
combo_1,weather_risk_prep,1,0.08763302475741332
combo_1,social_norms,1,0.051221420284575714
combo_1,trust_science,1,0.029538219319509347
combo_1,policy_support,1,0.010820619803555807
combo_1,belief_concern+harm_present,2,0.23701439007851077
combo_1,belief_concern+weather_risk_prep,2,0.2541853026415495
combo_1,belief_concern+social_norms,2,0.2287033013793226
combo_1,belief_concern+trust_science,2,0.2103796450844546
combo_1,belief_concern+policy_support,2,0.20704748293148786
combo_1,harm_present+weather_risk_prep,2,0.24724636254833401
combo_1,harm_present+social_norms,2,0.25170487886321175
combo_1,harm_present+trust_science,2,0.22730582245842756
combo_1,harm_present+policy_support,2,0.20914806090724444
combo_1,weather_risk_prep+social_norms,2,0.14712894967479295
combo_1,weather_risk_prep+trust_science,2,0.12465400856007294
combo_1,weather_risk_prep+policy_support,2,0.10606244812699009
combo_1,social_norms+trust_science,2,0.054584451175569426
combo_1,social_norms+policy_support,2,0.05396200650781738
combo_1,trust_science+policy_support,2,0.038595223377800345
combo_1,belief_concern+harm_present+weather_risk_prep,3,0.2877017332546767
combo_1,belief_concern+harm_present+social_norms,3,0.2682286825117957
combo_1,belief_concern+harm_present+trust_science,3,0.251588268302733
combo_1,belief_concern+harm_present+policy_support,3,0.2478747052673111
combo_1,belief_concern+weather_risk_prep+social_norms,3,0.285462201777816
combo_1,belief_concern+weather_risk_prep+trust_science,3,0.2679551765843088
combo_1,belief_concern+weather_risk_prep+policy_support,3,0.26453714776910087
combo_1,belief_concern+social_norms+trust_science,3,0.23421132856967466
combo_1,belief_concern+social_norms+policy_support,3,0.2346353815287438
