target_label,target_size,ate_baseline,ate_min,ate_max,range,n_specs
harm_present+weather_risk_prep+social_norms,3,0.31147763202094186,0.2862690604993595,0.31225318109942085,0.025984120600061333,16
harm_present+weather_risk_prep+trust_science,3,0.2878755905903042,0.28710175658190135,0.29005892689732155,0.002957170315420199,16
belief_concern+harm_present+weather_risk_prep,3,0.28599630861849856,0.27957182847632284,0.29005892689732155,0.010487098420998708,16
belief_concern+weather_risk_prep+social_norms,3,0.2855341745626849,0.254552959918645,0.2855977131886366,0.031044753269991565,16
harm_present+weather_risk_prep+policy_support,3,0.26979948281249205,0.2445889575855821,0.2896683500795741,0.04507939249399198,16
belief_concern+harm_present+social_norms,3,0.26745313343331933,0.24054751135345964,0.2682286825117957,0.02768117115833607,16
belief_concern+weather_risk_prep+trust_science,3,0.26702743290377673,0.25701407793828307,0.2679551765843088,0.010941098646025715,16
belief_concern+weather_risk_prep+policy_support,3,0.26466272759687076,0.2539516118166624,0.26476122035804023,0.010809608541377802,16
harm_present+social_norms+policy_support,3,0.25696723736391897,0.23720904886307564,0.2576369590126329,0.02042791014955725,16
harm_present+social_norms+trust_science,3,0.25696723736391897,0.22966631630033693,0.2576369590126329,0.027970642712295962,16
belief_concern+weather_risk_prep,2,0.2533273998687189,0.2464818726392821,0.2659906191605736,0.019508746521291503,16
harm_present+social_norms,2,0.2510351572144976,0.2341625014567429,0.25170487886321175,0.017542377406468856,16
belief_concern+harm_present+trust_science,3,0.24981300275885582,0.24338166781026857,0.251588268302733,0.008206600492464439,16
belief_concern+harm_present+policy_support,3,0.2471527632317358,0.2354108313418953,0.2478747052673111,0.012463873925415786,16
harm_present+weather_risk_prep,2,0.24672975829639499,0.23711921915673184,0.2978103581479465,0.060691138991214644,16
harm_present+trust_science+policy_support,3,0.24227985076950365,0.22966631630033693,0.24294957241821405,0.013283256117877118,16
belief_concern+harm_present,2,0.23530896544233512,0.22794109291304504,0.25161200916254906,0.023670916249504015,16
belief_concern+social_norms+policy_support,3,0.23492254302547208,0.2094199559567747,0.23575422283941172,0.026334266882637014,16
belief_concern+social_norms+trust_science,3,0.23449849006640291,0.20138005571390075,0.23575422283941172,0.034374167125510974,16
belief_concern+social_norms,2,0.22899046287605068,0.2063734085504502,0.22899046287605068,0.02261705432560049,16
harm_present+trust_science,2,0.2267023513447404,0.2263311599678256,0.24049728544577048,0.01416612547794488,16
belief_concern+trust_science+policy_support,3,0.2198111034719876,0.20138005571390075,0.22049575948076228,0.01911570376686153,16
belief_concern+trust_science,2,0.20966709011578186,0.20138005571390075,0.21238270879196258,0.011002653078061836,16
harm_present+policy_support,2,0.20862624356692824,0.183934754015744,0.24049728544577048,0.056562531430026486,16
belief_concern+policy_support,2,0.20738825147111697,0.19679913956493533,0.21287987647209788,0.01608073690716255,16
belief_concern,1,0.20213119958321188,0.19540735892056088,0.212483437326669,0.017076078406108114,16
harm_present,1,0.19163479489107782,0.18254297351083748,0.23847824147499552,0.05593526796415804,16
weather_risk_prep+social_norms+trust_science,3,0.15459980118926392,0.09744160251693428,0.16083909326928392,0.06339749075234964,16
weather_risk_prep+social_norms+policy_support,3,0.15410339560438246,0.10498610739301702,0.16071253447363978,0.05572642708062277,16
weather_risk_prep+social_norms,2,0.14668099904679685,0.1003756544401849,0.15324279529625956,0.05286714085607466,16
weather_risk_prep+trust_science+policy_support,3,0.13934133783061803,0.09744160251693428,0.14046411735042355,0.043022514833489275,16
weather_risk_prep+trust_science,2,0.12427230846710365,0.09744160251693428,0.13299438105703532,0.03555277854010104,16
weather_risk_prep+policy_support,2,0.10576240180739177,0.0889545726812841,0.10799108005594629,0.019036507374662198,16
weather_risk_prep,1,0.0874440189559572,0.08718673654700416,0.1064092937313358,0.019222557184331635,16
social_norms+trust_science+policy_support,3,0.06025758649845053,0.006582947359884555,0.06608594305962791,0.05950299569974335,16
social_norms+trust_science,2,0.05432550634902914,0.0035363999535518225,0.0586162038822477,0.055079803928695874,16
social_norms+policy_support,2,0.0537030616812771,0,0.05944352532281659,0.05944352532281659,16
social_norms,1,0.05096247545803553,0,0.05805174521579483,0.05805174521579483,16
trust_science+policy_support,2,0.03833627855126369,0.006582947359884555,0.039665064950938585,0.03308211759105403,16
trust_science,1,0.029345525027996013,0.0035363999535518225,0.03827328484391682,0.034736884890365,16
policy_support,1,0.01070957928541343,-0.007065245259864246,0.010820619803555807,0.017885865063420055,16
