target_label,target_size,ate_baseline,ate_min,ate_max,range,n_specs
harm_present+weather_risk_prep+social_norms,3,0.30544893350136915,0.28464488181805936,0.30544893350138247,0.02080405168332311,16
harm_present+weather_risk_prep+trust_science,3,0.2825625388499358,0.2825625388499296,0.28464488181807457,0.002082342968144968,16
belief_concern+harm_present+weather_risk_prep,3,0.28092375890193094,0.27507649605987683,0.28464488181807457,0.00956838575819774,16
belief_concern+weather_risk_prep+social_norms,3,0.2797602163924791,0.2537244189025223,0.2797602163924944,0.02603579748997209,16
belief_concern+harm_future+weather_risk_prep,3,0.27063852631513724,0.2522488478225877,0.2716095517197238,0.019360703897136067,16
harm_present+weather_risk_prep+policy_support,3,0.26457335319371855,0.2404142004464332,0.28464488181807457,0.04423068137164138,16
belief_concern+harm_present+social_norms,3,0.2626466147018229,0.23972906165602004,0.2626466147018337,0.022917553045813666,16
belief_concern+weather_risk_prep+trust_science,3,0.2623051625019537,0.2537244189025223,0.2632761879065396,0.00955176900401733,16
belief_concern+weather_risk_prep+policy_support,3,0.25969790960227757,0.250749787478896,0.25969790960229105,0.008948122123395075,16
harm_present+harm_future+weather_risk_prep,3,0.2565282253698253,0.25083442074738227,0.28464488181807457,0.0338104610706923,16
belief_concern+weather_risk_prep,2,0.2552350417930409,0.250749787478896,0.25620606719762895,0.00545627971873297,16
harm_present+harm_future+social_norms,3,0.2521648587871532,0.22872973552486928,0.25216485878716344,0.02343512326229416,16
harm_present+social_norms,2,0.2521648587871532,0.22872973552486928,0.25216485878716344,0.02343512326229416,16
harm_present+social_norms+policy_support,3,0.2521648587871532,0.22872973552486928,0.25216485878716344,0.02343512326229416,16
harm_present+social_norms+trust_science,3,0.2521648587871532,0.22872973552486928,0.25216485878716344,0.02343512326229416,16
harm_future+weather_risk_prep+social_norms,3,0.24878564046351653,0.09737009269989931,0.25012086713430287,0.15275077443440355,16
harm_present+weather_risk_prep,2,0.24837624391964036,0.2404142004464332,0.28464488181807457,0.04423068137164138,16
belief_concern+harm_future+social_norms,3,0.2482794709198242,0.20196407824164808,0.24827947091983565,0.04631539267818757,16
belief_concern+harm_present+trust_science,3,0.2451915608112975,0.23972906165602004,0.24616258621587897,0.006433524559858933,16
belief_concern+harm_present+policy_support,3,0.2425843079116214,0.23214146795708043,0.24316324248024213,0.011021774523161693,16
belief_concern+harm_present+harm_future,3,0.23929414230348933,0.23364039645342619,0.24026516770807282,0.006624771254646639,16
belief_concern+harm_present,2,0.23812144010238467,0.23214146795708043,0.23984671930620102,0.00770525134912059,16
harm_present+trust_science+policy_support,3,0.2375292893720179,0.22872973552486928,0.2375292893720246,0.008799553847155334,16
belief_concern+harm_future+trust_science,3,0.23082441702929882,0.20196407824164808,0.23179544243388092,0.02983136419223284,16
belief_concern+social_norms,2,0.2304354440929343,0.20196407824164808,0.23043544409294756,0.028471365851299474,16
belief_concern+social_norms+policy_support,3,0.2304354440929343,0.20196407824164808,0.23043544409294756,0.028471365851299474,16
belief_concern+social_norms+trust_science,3,0.2304354440929343,0.20196407824164808,0.23043544409294756,0.028471365851299474,16
harm_present+harm_future+trust_science,3,0.22927846413571992,0.22872973552486928,0.23066511524602282,0.0019353797211535406,16
harm_present+trust_science,2,0.22927846413571992,0.22872973552486928,0.23066511524602282,0.0019353797211535406,16
belief_concern+harm_future+policy_support,3,0.229117282688636,0.20196407824164808,0.22911728268864556,0.02715320444699748,16
